title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,,Toronto,ON,M4L3Y5,"C$20,000","0 bds, None ba ,None sqft",Union Realty Brokerage Inc.,https://www.zillow.com/homedetails/1797-Queen-St-44-Toronto-ON-M4L-3Y5/2077203507_zpid/
Townhouse for sale,,Toronto,ON,M4L2C7,"C$818,000","3 bds, 3.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/85-Eastwood-Rd-23-Toronto-ON-M4L-2C7/2077213963_zpid/
House for sale,,Toronto,ON,M4L3A1,"C$2,099,000","5 bds, 5.0 ba ,None sqft",HomeLife Galaxy Real Estate Ltd Brokerage,https://www.zillow.com/homedetails/174-Rhodes-Ave-Toronto-ON-M4L-3A1/2076943376_zpid/
Townhouse for sale,,Toronto,ON,M4L2M4,"C$949,000","3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/156-Alton-Ave-Toronto-ON-M4L-2M4/2077011385_zpid/
Townhouse for sale,,Toronto,ON,M4L6S8,"C$1,499,999","3 bds, 3.0 ba ,None sqft",Century 21 Innovative Realty Inc.,https://www.zillow.com/homedetails/1844-Lake-Shore-Blvd-E-Toronto-ON-M4L-6S8/2081250908_zpid/
House for sale,,Toronto,ON,M4L6S8,"C$2,598,800","3 bds, 4.0 ba ,None sqft",Sam Mcdadi Real Estate Inc.,https://www.zillow.com/homedetails/1810-Lake-Shore-Blvd-E-Toronto-ON-M4L-6S8/2082687517_zpid/
House for sale,,Toronto,ON,M4L1Y2,"C$1,098,000","4 bds, 3.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/1142-Gerrard-St-E-Toronto-ON-M4L-1Y2/2078296768_zpid/
House for sale,,Toronto,ON,M4L3V1,"C$2,499,000","4 bds, 5.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/175-Bellefair-Ave-E-Toronto-ON-M4L-3V1/2077091107_zpid/
Condo for sale,,Toronto,ON,M4L3V8,"C$399,900","0 bds, 1.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/123-Woodbine-Ave-327-Toronto-ON-M4L-3V8/2077225594_zpid/
Condo for sale,,Toronto,ON,M4L6T1,"C$614,900","1 bds, 1.0 ba ,None sqft",Real Estate Bay Realty,https://www.zillow.com/homedetails/9-Boardwalk-Dr-202-Toronto-ON-M4L-6T1/2077485231_zpid/
Condo for sale,,Toronto,ON,M4L1C6,"C$839,900","1 bds, 1.0 ba ,None sqft",The Condo Store Realty Inc.,https://www.zillow.com/homedetails/1331-Queen-St-E-UNIT-502-Toronto-ON-M4L-1C6/2077508221_zpid/
