title,address,city,state,postal_code,price,facts and features,real estate provider,url
Townhouse for sale,,Toronto,ON,M5A3Z6,"C$999,000","3 bds, 2.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/242-Milan-St-Toronto-ON-M5A-3Z6/2078453216_zpid/
Townhouse for sale,,Toronto,ON,M5A2X4,"C$979,000","2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/254-A-Berkeley-St-Toronto-ON-M5A-2X4/2076926858_zpid/
Townhouse for sale,,Toronto,ON,M5A2N1,"C$1,655,000","3 bds, 3.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/220-George-St-TOWNHOUSE-1-Toronto-ON-M5A-2N1/2085194180_zpid/
Townhouse for sale,,Toronto,ON,M5A1T6,"C$1,495,000","3 bds, 2.0 ba ,None sqft",Re/Max Urban Toronto Team Realty Inc.,https://www.zillow.com/homedetails/457-Queen-St-E-Toronto-ON-M5A-1T6/2077696858_zpid/
Condo for sale,,Toronto,ON,M5A3Y4,"C$899,000","2 bds, 2.0 ba ,None sqft",Re/Max Gold Realty Inc.,https://www.zillow.com/homedetails/12-Bonneycastle-St-923-Toronto-ON-M5A-3Y4/2076933097_zpid/
House for sale,,Toronto,ON,M5A2L1,"C$2,995,000","9 bds, 5.0 ba ,None sqft",Slavens & Associates Real Estate Inc.,https://www.zillow.com/homedetails/206-Carlton-St-Toronto-ON-M5A-2L1/2077496434_zpid/
Condo for sale,,Toronto,ON,M5A2P6,"C$330,000","2 bds, 1.0 ba ,None sqft",HomeLife Best Choice Realty Inc Brokerage,https://www.zillow.com/homedetails/37-Sherbourne-St-304-Toronto-ON-M5A-2P6/2086916486_zpid/
House for sale,,Toronto,ON,M5A3Z6,"C$1,699,000","2 bds, 5.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/264-Milan-St-Toronto-ON-M5A-3Z6/2077008013_zpid/
House for sale,,Toronto,ON,M5A2R7,"C$1,349,000","4 bds, 3.0 ba ,None sqft",Aykler Real Estate Inc.,https://www.zillow.com/homedetails/190-Sherbourne-St-Toronto-ON-M5A-2R7/2076999565_zpid/
Condo for sale,,Toronto,ON,M5A1E7,"C$780,000","3 bds, 2.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/177-Front-St-E-2203-Toronto-ON-M5A-1E7/2077561803_zpid/
Condo for sale,,Toronto,ON,M5A0B3,"C$599,900","2 bds, 2.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/260-Sackville-St-208-Toronto-ON-M5A-0B3/2077562693_zpid/
House for sale,,Toronto,ON,M5A2A9,"C$2,399,900","6 bds, 2.0 ba ,None sqft",Re/Max Real Estate Solutions,https://www.zillow.com/homedetails/417-Dundas-St-E-Toronto-ON-M5A-2A9/2077184969_zpid/
Condo for sale,,Toronto,ON,M5A1K5,"C$829,000","2 bds, 2.0 ba ,None sqft",Berkshire Hathaway Homeservices Toronto Realty,https://www.zillow.com/homedetails/230-King-St-E-PENTHOUSE-14-Toronto-ON-M5A-1K5/2077556671_zpid/
Condo for sale,,Toronto,ON,M5A0E2,"C$1,599,000","3 bds, 3.0 ba ,None sqft",Psr,https://www.zillow.com/homedetails/390-Cherry-St-205-Toronto-ON-M5A-0E2/2077683572_zpid/
Condo for sale,,Toronto,ON,M5A4M3,"C$649,000","2 bds, 2.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/25-Cole-St-1609-Toronto-ON-M5A-4M3/2077417809_zpid/
Condo for sale,,Toronto,ON,M5A0B3,"C$639,000","1 bds, 2.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/260-Sackville-St-214-Toronto-ON-M5A-0B3/2077163130_zpid/
Condo for sale,,Toronto,ON,M5A4J9,"C$605,000","1 bds, 1.0 ba ,None sqft",HomeLife/Bayview Realty Inc Brokerage,https://www.zillow.com/homedetails/20-Richardson-St-514-Toronto-ON-M5A-4J9/2078545146_zpid/
Condo for sale,,Toronto,ON,M5A1P9,"C$649,000","2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/320-Richmond-St-E-414-Toronto-ON-M5A-1P9/2079127552_zpid/
