title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Townhouse for sale,85 Eastwood Rd #23,Toronto,ON,M4L2C7,43.673547,-79.315619,"C$818,000",31,"3 bds, 3.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/85-Eastwood-Rd-23-Toronto-ON-M4L-2C7/2077213963_zpid/
Condo for sale,1797 Queen St #44,Toronto,ON,M4L3Y5,43.668003,-79.30859,"C$20,000",30,"0 bds, None ba ,None sqft",Union Realty Brokerage Inc.,https://www.zillow.com/homedetails/1797-Queen-St-44-Toronto-ON-M4L-3Y5/2077203507_zpid/
House for sale,174 Rhodes Ave,Toronto,ON,M4L3A1,43.670164,-79.319643,"C$2,099,000",3,"5 bds, 5.0 ba ,None sqft",HomeLife Galaxy Real Estate Ltd Brokerage,https://www.zillow.com/homedetails/174-Rhodes-Ave-Toronto-ON-M4L-3A1/2076943376_zpid/
Townhouse for sale,156 Alton Ave,Toronto,ON,M4L2M4,43.667862,-79.32994,"C$949,000",9,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/156-Alton-Ave-Toronto-ON-M4L-2M4/2077011385_zpid/
Townhouse for sale,1844 Lake Shore Blvd E,Toronto,ON,M4L6S8,43.665037,-79.305655,"C$1,499,999",147,"3 bds, 3.0 ba ,None sqft",Century 21 Innovative Realty Inc.,https://www.zillow.com/homedetails/1844-Lake-Shore-Blvd-E-Toronto-ON-M4L-6S8/2081250908_zpid/
Condo for sale,123 Woodbine Ave #327,Toronto,ON,M4L3V8,43.667569,-79.304871,"C$399,900",33,"0 bds, 1.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/123-Woodbine-Ave-327-Toronto-ON-M4L-3V8/2077225594_zpid/
House for sale,1142 Gerrard St E,Toronto,ON,M4L1Y2,43.670238,-79.332516,"C$1,098,000",121,"4 bds, 3.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/1142-Gerrard-St-E-Toronto-ON-M4L-1Y2/2078296768_zpid/
Condo for sale,9 Boardwalk Dr #202,Toronto,ON,M4L6T1,43.664258,-79.309476,"C$614,900",56,"1 bds, 1.0 ba ,None sqft",Real Estate Bay Realty,https://www.zillow.com/homedetails/9-Boardwalk-Dr-202-Toronto-ON-M4L-6T1/2077485231_zpid/
House for sale,175 Bellefair Ave E,Toronto,ON,M4L3V1,43.675785,-79.30197,"C$2,499,000",20,"4 bds, 5.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/175-Bellefair-Ave-E-Toronto-ON-M4L-3V1/2077091107_zpid/
House for sale,1810 Lake Shore Blvd E,Toronto,ON,M4L6S8,43.66443,-79.306685,"C$2,598,800",265,"3 bds, 4.0 ba ,None sqft",Sam Mcdadi Real Estate Inc.,https://www.zillow.com/homedetails/1810-Lake-Shore-Blvd-E-Toronto-ON-M4L-6S8/2082687517_zpid/
Condo for sale,1331 Queen St E UNIT 502,Toronto,ON,M4L1C6,43.663888,-79.326681,"C$839,900",58,"1 bds, 1.0 ba ,None sqft",The Condo Store Realty Inc.,https://www.zillow.com/homedetails/1331-Queen-St-E-UNIT-502-Toronto-ON-M4L-1C6/2077508221_zpid/
