title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
House for sale,1447 Dundas St E,Toronto,ON,M4M1S7,43.666125,-79.333487,"C$1,349,900",79,"3 bds, 3.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/1447-Dundas-St-E-Toronto-ON-M4M-1S7/2077775131_zpid/
Townhouse for sale,114 Curzon St,Toronto,ON,M4M3B4,43.66629,-79.332965,"C$1,299,000",36,"4 bds, 4.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/114-Curzon-St-Toronto-ON-M4M-3B4/2077262870_zpid/
Townhouse for sale,50 Curzon St #501,Toronto,ON,M4M0C2,43.664748,-79.33246,"C$1,690,000",124,"3 bds, 3.0 ba ,None sqft",Living Realty Inc.,https://www.zillow.com/homedetails/50-Curzon-St-501-Toronto-ON-M4M-0C2/2084075014_zpid/
Condo for sale,875 Queen St E,Toronto,ON,M4M1J2,43.660137,-79.34308,"C$59,900",155,"0 bds, None ba ,651 sqft",CENTURY 21 Percy Fulton Ltd Brokerage,https://www.zillow.com/homedetails/875-Queen-St-E-Toronto-ON-M4M-1J2/2087450110_zpid/
Condo for sale,1190 Dundas St E UNIT 217,Toronto,ON,M4M0C5,43.665267,-79.341033,"C$399,000",42,"1 bds, 1.0 ba ,None sqft",Re/Max Real Estate Solutions,https://www.zillow.com/homedetails/1190-Dundas-St-E-UNIT-217-Toronto-ON-M4M-0C5/2077324412_zpid/
Condo for sale,1190 Dundas St E #501,Toronto,ON,M4M0C5,43.665267,-79.341033,"C$519,900",13,"1 bds, 1.0 ba ,None sqft",Sage - Verity Real Estate,https://www.zillow.com/homedetails/1190-Dundas-St-E-501-Toronto-ON-M4M-0C5/2077033407_zpid/
Condo for sale,201 Carlaw Ave #301,Toronto,ON,M4M2S3,43.662477,-79.340062,"C$575,000",50,"1 bds, 1.0 ba ,None sqft",HomeLife/Vision Realty Inc Brokerage,https://www.zillow.com/homedetails/201-Carlaw-Ave-301-Toronto-ON-M4M-2S3/2080260129_zpid/
House for sale,18 Mallon Ave,Toronto,ON,M4M1P8,43.665787,-79.335637,"C$1,188,800",7,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/18-Mallon-Ave-Toronto-ON-M4M-1P8/2076985576_zpid/
Condo for sale,90 Broadview Ave UNIT 628,Toronto,ON,M4M0A7,43.658002,-79.350072,"C$845,000",16,"1 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/90-Broadview-Ave-UNIT-628-Toronto-ON-M4M-0A7/2077057337_zpid/
Townhouse for sale,413 Leslie St W,Toronto,ON,M4M3E3,43.670948,-79.333356,"C$1,074,800",66,"2 bds, 2.0 ba ,None sqft",Union Realty Brokerage Inc.,https://www.zillow.com/homedetails/413-Leslie-St-W-Toronto-ON-M4M-3E3/2077602439_zpid/
House for sale,129 Curzon St,Toronto,ON,M4M3B3,43.666389,-79.332639,"C$1,949,000",82,"7 bds, 3.0 ba ,None sqft",Re/Max Urban Toronto Team Realty Inc.,https://www.zillow.com/homedetails/129-Curzon-St-Toronto-ON-M4M-3B3/2078465255_zpid/
House for sale,153 Galt Ave,Toronto,ON,M4M2Z4,43.671086,-79.337145,"C$1,195,000",86,"3 bds, 1.0 ba ,None sqft",Century 21 Millennium Inc.,https://www.zillow.com/homedetails/153-Galt-Ave-Toronto-ON-M4M-2Z4/2077855769_zpid/
Condo for sale,201 Carlaw Ave PENTHOUSE 802,Toronto,ON,M4M2S3,43.662524,-79.34004,"C$1,195,000",50,"2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/201-Carlaw-Ave-PENTHOUSE-802-Toronto-ON-M4M-2S3/2077423050_zpid/
Condo for sale,246 Logan Ave #708,Toronto,ON,M4M2P4,43.666678,-79.345449,"C$1,299,000",55,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/246-Logan-Ave-708-Toronto-ON-M4M-2P4/2077474588_zpid/
House for sale,11 Mallon Ave,Toronto,ON,M4M1P7,43.665611,-79.334556,"C$1,239,000",23,"4 bds, 3.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/11-Mallon-Ave-Toronto-ON-M4M-1P7/2077130824_zpid/
Condo for sale,The Poet,Toronto,ON,M4M1L4,43.662918,-79.33236,"C$600,000",541,"0 bds, None ba ,None sqft",CENTURY 21 Kennect Realty Inc Brokerage,https://www.zillow.com/homedetails/The-Poet-Toronto-ON-M4M-1L4/2083921771_zpid/
Condo for sale,246 Logan Ave #303,Toronto,ON,M4M2P4,43.666678,-79.345449,"C$645,000",121,"2 bds, 1.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/246-Logan-Ave-303-Toronto-ON-M4M-2P4/2078296758_zpid/
Condo for sale,485 Logan Ave UNIT 303,Toronto,ON,M4M2P5,43.666828,-79.344526,"C$1,075,000",106,"2 bds, 3.0 ba ,None sqft",Re/Max Real Estate Solutions,https://www.zillow.com/homedetails/485-Logan-Ave-UNIT-303-Toronto-ON-M4M-2P5/2078095934_zpid/
Condo for sale,485 Logan Ave UNIT 202,Toronto,ON,M4M2P5,43.666828,-79.344526,"C$1,065,000",45,"2 bds, 2.0 ba ,None sqft",Re/Max Real Estate Solutions,https://www.zillow.com/homedetails/485-Logan-Ave-UNIT-202-Toronto-ON-M4M-2P5/2077363128_zpid/
