title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Condo for sale,185 Roehampton Ave #C138,Toronto,ON,M4P0C6,43.708964,-79.392984,"C$6,900",141,"0 bds, None ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/185-Roehampton-Ave-C138-Toronto-ON-M4P-0C6/2078581899_zpid/
House for sale,939 Mount Pleasant Rd,Toronto,ON,M4P2L7,43.712158,-79.391341,"C$1,169,000",30,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/939-Mount-Pleasant-Rd-Toronto-ON-M4P-2L7/2077200926_zpid/
Condo for sale,562 Eglinton Ave E #201,Toronto,ON,M4P1P1,43.710818,-79.379976,"C$699,900",5,"2 bds, 2.0 ba ,None sqft",Berkshire Hathaway Homeservices Toronto Realty,https://www.zillow.com/homedetails/562-Eglinton-Ave-E-201-Toronto-ON-M4P-1P1/2076951529_zpid/
Condo for sale,25 Broadway Ave #503,Toronto,ON,M4P1T7,43.709841,-79.396432,"C$895,000",99,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/25-Broadway-Ave-503-Toronto-ON-M4P-1T7/2078006733_zpid/
Condo for sale,8 Eglinton Ave #4406,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$579,000",72,"1 bds, 1.0 ba ,None sqft",HomeLife Frontier Realty Inc Brokerage,https://www.zillow.com/homedetails/8-Eglinton-Ave-4406-Toronto-ON-M4P-1A6/2077686506_zpid/
Condo for sale,161 Roehampton Ave #2308,Toronto,ON,M4P1P9,43.708768,-79.393797,"C$505,000",55,"1 bds, 1.0 ba ,None sqft",One Percent Realty Ltd.,https://www.zillow.com/homedetails/161-Roehampton-Ave-2308-Toronto-ON-M4P-1P9/2077470369_zpid/
Condo for sale,8 Eglinton Ave E #2307,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$559,900",42,"1 bds, 1.0 ba ,None sqft",CENTURY 21 Percy Fulton Ltd Brokerage,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-2307-Toronto-ON-M4P-1A6/2077337226_zpid/
Condo for sale,185 Roehampton Ave #405,Toronto,ON,M4P0C6,43.708964,-79.392984,"C$615,000",24,"1 bds, 1.0 ba ,550 sqft",Union Capital Realty,https://www.zillow.com/homedetails/185-Roehampton-Ave-405-Toronto-ON-M4P-0C6/2078946067_zpid/
Condo for sale,161 Roehampton Ave #1006,Toronto,ON,M4P1P9,43.708768,-79.393797,"C$600,000",22,"1 bds, 1.0 ba ,None sqft",Cityview Realty Inc.,https://www.zillow.com/homedetails/161-Roehampton-Ave-1006-Toronto-ON-M4P-1P9/2077122851_zpid/
Condo for sale,30 Roehampton Ave #607,Toronto,ON,M4P0B9,43.708446,-79.3976,"C$599,000",39,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/30-Roehampton-Ave-607-Toronto-ON-M4P-0B9/2077302179_zpid/
Condo for sale,8 Eglinton Ave E UNIT 2404,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$555,000",62,"1 bds, 1.0 ba ,None sqft",CENTURY 21 Atria Realty Inc Brokerage,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-UNIT-2404-Toronto-ON-M4P-1A6/2077554544_zpid/
Condo for sale,25 Broadway Ave #1608,Toronto,ON,M4P1T7,43.709841,-79.396432,"C$629,000",17,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/25-Broadway-Ave-1608-Toronto-ON-M4P-1T7/2077070709_zpid/
Condo for sale,88 Broadway Ave #1806,Toronto,ON,M4P0A5,43.710767,-79.394349,"C$869,900",84,"2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/88-Broadway-Ave-1806-Toronto-ON-M4P-0A5/2078974992_zpid/
Condo for sale,8 Eglinton Ave E #4311,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$799,888",40,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-4311-Toronto-ON-M4P-1A6/2084215161_zpid/
Condo for sale,8 Eglinton Ave E #4307,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$599,800",119,"1 bds, 1.0 ba ,None sqft",Living Realty Inc.,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-4307-Toronto-ON-M4P-1A6/2078258191_zpid/
Condo for sale,8 Eglinton Ave E UNIT 2304,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$588,888",10,"1 bds, 1.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-UNIT-2304-Toronto-ON-M4P-1A6/2084691425_zpid/
Condo for sale,188 Eglinton Ave E #202,Toronto,ON,M4P2X7,43.708319,-79.392624,"C$550,000",134,"1 bds, 1.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/188-Eglinton-Ave-E-202-Toronto-ON-M4P-2X7/2078478982_zpid/
Condo for sale,8 Eglinton Ave E #1107,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$558,888",135,"1 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-1107-Toronto-ON-M4P-1A6/2078498869_zpid/
Condo for sale,8 Eglinton Ave E #3904,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$609,900",36,"1 bds, 1.0 ba ,None sqft",Re/Max Rouge River Realty Ltd.,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-3904-Toronto-ON-M4P-1A6/2077262860_zpid/
Condo for sale,8 Eglinton Ave E UNIT 2604,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$745,000",116,"2 bds, 2.0 ba ,None sqft",HomeLife/Cimerman Real Estate Ltd Brokerage,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-UNIT-2604-Toronto-ON-M4P-1A6/2082895330_zpid/
Condo for sale,185 Roehampton Ave #2911,Toronto,ON,M4P0C6,43.708964,-79.392984,"C$550,000",79,"1 bds, 1.0 ba ,None sqft",Psr,https://www.zillow.com/homedetails/185-Roehampton-Ave-2911-Toronto-ON-M4P-0C6/2077776681_zpid/
Condo for sale,8 Eglinton Ave E UNIT 2908,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$739,000",43,"2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-UNIT-2908-Toronto-ON-M4P-1A6/2084621687_zpid/
Condo for sale,185 Roehampton Ave #3201,Toronto,ON,M4P0C6,43.708964,-79.392984,"C$759,000",30,"2 bds, 2.0 ba ,None sqft",HomeLife/Cimerman Real Estate Ltd Brokerage,https://www.zillow.com/homedetails/185-Roehampton-Ave-3201-Toronto-ON-M4P-0C6/2080012134_zpid/
Condo for sale,161 Roehampton Ave #626,Toronto,ON,M4P1P9,43.708768,-79.393797,"C$519,000",61,"1 bds, 1.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/161-Roehampton-Ave-626-Toronto-ON-M4P-1P9/2077534509_zpid/
Condo for sale,88 Broadway Ave #603,Toronto,ON,M4P0A5,43.710767,-79.394349,"C$759,000",30,"2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/88-Broadway-Ave-603-Toronto-ON-M4P-0A5/2077204781_zpid/
Condo for sale,161 Roehampton Ave #312,Toronto,ON,M4P1P9,43.708768,-79.393797,"C$799,800",71,"1 bds, 1.0 ba ,None sqft",Psr,https://www.zillow.com/homedetails/161-Roehampton-Ave-312-Toronto-ON-M4P-1P9/2077666855_zpid/
Condo for sale,185 Roehampton Ave #604,Toronto,ON,M4P0C6,43.708964,-79.392984,"C$609,000",42,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/185-Roehampton-Ave-604-Toronto-ON-M4P-0C6/2077325141_zpid/
Condo for sale,8 Eglinton Ave E #3909,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$616,800",70,"2 bds, 1.0 ba ,None sqft",HomeLife/Cimerman Real Estate Ltd Brokerage,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-3909-Toronto-ON-M4P-1A6/2077652495_zpid/
Condo for sale,101 Erskine Ave #1311,Toronto,ON,M4P1Y5,43.711608,-79.395501,"C$529,900",30,"1 bds, 1.0 ba ,None sqft",HomeLife/GTA Realty Inc Brokerage,https://www.zillow.com/homedetails/101-Erskine-Ave-1311-Toronto-ON-M4P-1Y5/2077203775_zpid/
Condo for sale,70 Roehampton Ave #1513,Toronto,ON,M4P1R2,43.708696,-79.396706,"C$929,000",153,"2 bds, 2.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/70-Roehampton-Ave-1513-Toronto-ON-M4P-1R2/2078743401_zpid/
Condo for sale,30 Roehampton Ave #416,Toronto,ON,M4P0B9,43.708446,-79.3976,"C$799,000",48,"2 bds, 2.0 ba ,None sqft",Modern Solution Realty Inc.,https://www.zillow.com/homedetails/30-Roehampton-Ave-416-Toronto-ON-M4P-0B9/2077384956_zpid/
Condo for sale,8 Eglinton Ave E #5809,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$1,428,888",63,"2 bds, 2.0 ba ,None sqft",Living Realty Inc.,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-5809-Toronto-ON-M4P-1A6/2077562234_zpid/
Condo for sale,8 Eglinton Ave E #502,Toronto,ON,M4P1A6,43.707082,-79.397771,"C$825,000",52,"2 bds, 2.0 ba ,None sqft",Century 21 Camdec Real Estate Ltd.,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-502-Toronto-ON-M4P-1A6/2077446717_zpid/
Condo for sale,88 Broadway Ave #304,Toronto,ON,M4P0A5,43.710767,-79.394349,"C$882,000",37,"2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/88-Broadway-Ave-304-Toronto-ON-M4P-0A5/2077279426_zpid/
Condo for sale,88 Broadway Ave #713,Toronto,ON,M4P0A5,43.710767,-79.394349,"C$800,000",71,"2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/88-Broadway-Ave-713-Toronto-ON-M4P-0A5/2077665800_zpid/
Condo for sale,161 Roehampton Ave #4303,Toronto,ON,M4P1P9,43.708768,-79.393797,"C$763,900",45,"2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/161-Roehampton-Ave-4303-Toronto-ON-M4P-1P9/2077366566_zpid/
Condo for sale,161 Roehampton Ave #732,Toronto,ON,M4P1P9,43.708768,-79.393797,"C$524,900",167,"1 bds, 1.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/161-Roehampton-Ave-732-Toronto-ON-M4P-1P9/2079674841_zpid/
