title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
House for sale,447 Soudan Ave,Toronto,ON,M4S1X1,43.706879,-79.384673,"C$2,999,000",15,"4 bds, 5.0 ba ,None sqft",Berkshire Hathaway Homeservices Toronto Realty,https://www.zillow.com/homedetails/447-Soudan-Ave-Toronto-ON-M4S-1X1/2077043743_zpid/
House for sale,33 Mann Ave,Toronto,ON,M4S2Y2,43.709585,-79.37763,"C$2,799,000",7,"4 bds, 4.0 ba ,None sqft",Slavens,https://www.zillow.com/homedetails/33-Mann-Ave-Toronto-ON-M4S-2Y2/2076987211_zpid/
Townhouse for sale,300 Merton St,Toronto,ON,M4S1A9,43.698304,-79.38752,"C$1,588,800",30,"3 bds, 3.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/300-Merton-St-Toronto-ON-M4S-1A9/2078884425_zpid/
House for sale,92 Belsize Dr,Toronto,ON,M4S1L7,43.702043,-79.391105,"C$2,799,000",41,"4 bds, 4.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/92-Belsize-Dr-Toronto-ON-M4S-1L7/2079444249_zpid/
House for sale,401 Belsize Dr,Toronto,ON,M4S1N3,43.704504,-79.376948,"C$2,850,000",13,"4 bds, 5.0 ba ,None sqft",Aimhome Realty Inc.,https://www.zillow.com/homedetails/401-Belsize-Dr-Toronto-ON-M4S-1N3/2077061070_zpid/
House for sale,534 Millwood Rd,Toronto,ON,M4S1K5,43.703414,-79.379752,"C$1,545,000",23,"3 bds, 2.0 ba ,None sqft",HomeLife Frontier Realty Inc Brokerage,https://www.zillow.com/homedetails/534-Millwood-Rd-Toronto-ON-M4S-1K5/2084024114_zpid/
Townhouse for sale,83 Lillian St #25,Toronto,ON,M4S2H7,43.706592,-79.393518,"C$569,900",42,"1 bds, 1.0 ba ,None sqft",Faris Team Real Estate,https://www.zillow.com/homedetails/83-Lillian-St-25-Toronto-ON-M4S-2H7/2077328483_zpid/
Condo for sale,125 Redpath Ave #2306,Toronto,ON,M4S2J9,43.707522,-79.392402,"C$679,900",42,"1 bds, 2.0 ba ,3900 sqft",,https://www.zillow.com/homedetails/125-Redpath-Ave-2306-Toronto-ON-M4S-2J9/2078072986_zpid/
Condo for sale,2181 Yonge St #901,Toronto,ON,M4S3H7,43.705293,-79.397264,"C$599,800",61,"1 bds, 1.0 ba ,None sqft",Core Assets Real Estate,https://www.zillow.com/homedetails/2181-Yonge-St-901-Toronto-ON-M4S-3H7/2077578264_zpid/
Condo for sale,2181 Yonge St #2612,Toronto,ON,M4S3H7,43.705293,-79.397264,"C$608,000",77,"1 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/2181-Yonge-St-2612-Toronto-ON-M4S-3H7/2077738224_zpid/
Condo for sale,5 Soudan Ave #704,Toronto,ON,M4S1V5,43.704232,-79.397346,"C$619,900",63,"1 bds, 1.0 ba ,None sqft",Slavens,https://www.zillow.com/homedetails/5-Soudan-Ave-704-Toronto-ON-M4S-1V5/2077569561_zpid/
Condo for sale,245 Davisville Ave #218,Toronto,ON,M4S3H4,43.700024,-79.387465,"C$625,000",71,"1 bds, 1.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/245-Davisville-Ave-218-Toronto-ON-M4S-3H4/2077662507_zpid/
Condo for sale,645 Millwood Rd #403,Toronto,ON,M4S1L1,43.703835,-79.376021,"C$749,900",49,"2 bds, 2.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/645-Millwood-Rd-403-Toronto-ON-M4S-1L1/2077403012_zpid/
Condo for sale,125 Redpath Ave #3311,Toronto,ON,M4S2J9,43.707708,-79.392296,"C$799,900",233,"2 bds, 2.0 ba ,None sqft",HomeLife Golconda Realty Inc Brokerage,https://www.zillow.com/homedetails/125-Redpath-Ave-3311-Toronto-ON-M4S-2J9/2083804462_zpid/
Condo for sale,98 Lillian St #417,Toronto,ON,M4S0A5,43.707338,-79.394278,"C$459,900",27,"0 bds, 1.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/98-Lillian-St-417-Toronto-ON-M4S-0A5/2077162954_zpid/
Condo for sale,125 Redpath Ave #1910,Toronto,ON,M4S2J9,43.707522,-79.392402,"C$839,000",124,"2 bds, 2.0 ba ,None sqft",Century 21 Heritage Group Ltd.,https://www.zillow.com/homedetails/125-Redpath-Ave-1910-Toronto-ON-M4S-2J9/2078333203_zpid/
Condo for sale,253 Merton St #705,Toronto,ON,M4S3H2,43.69748,-79.388455,"C$779,000",315,"2 bds, 1.0 ba ,None sqft",Retrend Realty Ltd,https://www.zillow.com/homedetails/253-Merton-St-705-Toronto-ON-M4S-3H2/2081237659_zpid/
Condo for sale,650 Mount Pleasant Rd #310,Toronto,ON,M4S2N5,43.704762,-79.389036,"C$699,999",17,"1 bds, 1.0 ba ,None sqft",Re/Max Gold Realty Inc.,https://www.zillow.com/homedetails/650-Mount-Pleasant-Rd-310-Toronto-ON-M4S-2N5/2077068225_zpid/
Condo for sale,125 Redpath Ave #310,Toronto,ON,M4S0B5,43.707522,-79.392402,"C$649,000",0,"1 bds, 2.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/125-Redpath-Ave-310-Toronto-ON-M4S-0B5/2076901838_zpid/
Condo for sale,2191 Younge St #1501,Toronto,ON,M4S3H8,43.70565,-79.397377,"C$735,000",0,"1 bds, 2.0 ba ,None sqft",Century 21 Leading Edge Realty Inc.,https://www.zillow.com/homedetails/2191-Younge-St-1501-Toronto-ON-M4S-3H8/2076902173_zpid/
Condo for sale,89 Dunfield Ave,Toronto,ON,M4S0A4,43.706954,-79.395016,"C$59,000",391,"0 bds, None ba ,None sqft",Century 21 Heritage Group Ltd.,https://www.zillow.com/homedetails/89-Dunfield-Ave-Toronto-ON-M4S-0A4/2082022494_zpid/
Condo for sale,2131 Yonge St #746,Toronto,ON,M4S2A2,43.703839,-79.397225,"C$919,900",15,"2 bds, 2.0 ba ,None sqft",Psr,https://www.zillow.com/homedetails/2131-Yonge-St-746-Toronto-ON-M4S-2A2/2077056494_zpid/
Condo for sale,111 Merton St #412,Toronto,ON,M4S3A7,43.696455,-79.393343,"C$989,000",43,"2 bds, 2.0 ba ,None sqft",Re/Max West Celenza Group,https://www.zillow.com/homedetails/111-Merton-St-412-Toronto-ON-M4S-3A7/2080463984_zpid/
Condo for sale,8 Hillsdale Ave E #1727,Toronto,ON,M4S1T5,43.703686,-79.397164,"C$1,399,888",63,"2 bds, 3.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/8-Hillsdale-Ave-E-1727-Toronto-ON-M4S-1T5/2078954464_zpid/
Condo for sale,Yonge Soudan Yonge Street & Soudan Ave,Toronto,ON,M4S1V5,43.704353,-79.39783,"C$500,000",285,"0 bds, None ba ,None sqft",CENTURY 21 Kennect Realty Inc Brokerage,https://www.zillow.com/homedetails/Yonge-Soudan-Yonge-Street-Soudan-Ave-Toronto-ON-M4S-1V5/2080850045_zpid/
Condo for sale,89 Dunfield Ave #1302,Toronto,ON,M4S0A4,43.706954,-79.395016,"C$739,888",13,"1 bds, 1.0 ba ,None sqft",Aimhome Realty Inc.,https://www.zillow.com/homedetails/89-Dunfield-Ave-1302-Toronto-ON-M4S-0A4/2077061097_zpid/
