title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Condo for sale,1 Roxborough St E PENTHOUSE 2,Toronto,ON,M4W1V5,43.677819,-79.389467,"C$12,800,000",52,"4 bds, 4.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/1-Roxborough-St-E-PENTHOUSE-2-Toronto-ON-M4W-1V5/2077447832_zpid/
Condo for sale,85 Bloor St E #P3-4,Toronto,ON,M4W3Y1,43.670487,-79.384573,"C$65,000",290,"0 bds, None ba ,None sqft",Psr,https://www.zillow.com/homedetails/85-Bloor-St-E-P3-4-Toronto-ON-M4W-3Y1/2080919353_zpid/
House for sale,63 Douglas Cres,Toronto,ON,M4W2E6,43.69218,-79.366024,"C$3,995,000",72,"4 bds, 5.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/63-Douglas-Cres-Toronto-ON-M4W-2E6/2077680808_zpid/
House for sale,62 Maple Ave,Toronto,ON,M4W2T7,43.674737,-79.372002,"C$6,799,000",82,"5 bds, 4.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/62-Maple-Ave-Toronto-ON-M4W-2T7/2084492908_zpid/
Condo for sale,1 Bloor St E #3702,Toronto,ON,M4W0A8,43.670084,-79.3864,"C$749,000",2,"1 bds, 1.0 ba ,None sqft",Sutton Group-Associates Realty Inc.,https://www.zillow.com/homedetails/1-Bloor-St-E-3702-Toronto-ON-M4W-0A8/2076933307_zpid/
Condo for sale,85 Bloor St E #2008,Toronto,ON,M4W3Y1,43.670487,-79.384573,"C$1,200,000",12,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/85-Bloor-St-E-2008-Toronto-ON-M4W-3Y1/2077031536_zpid/
House for sale,1 Bloor St E #6009,Toronto,ON,M4W0A8,43.670084,-79.3864,"C$1,549,000",204,"2 bds, 2.0 ba ,1038 sqft",CENTURY 21 Leading Edge Realty Inc Brokerage,https://www.zillow.com/homedetails/1-Bloor-St-E-6009-Toronto-ON-M4W-0A8/2079528995_zpid/
Condo for sale,158 Crescent Rd #412,Toronto,ON,M4W1V2,43.678622,-79.37977,"C$749,900",203,"2 bds, 1.0 ba ,None sqft","Engel & Voelkers Toronto Central Yorkville, Brokerage",https://www.zillow.com/homedetails/158-Crescent-Rd-412-Toronto-ON-M4W-1V2/2079510488_zpid/
Condo for sale,980 Yonge St #502,Toronto,ON,M4W3V8,43.675321,-79.38905,"C$1,165,000",14,"2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/980-Yonge-St-502-Toronto-ON-M4W-3V8/2077037585_zpid/
Condo for sale,1 Bloor St E #1706,Toronto,ON,M4W0A8,43.670084,-79.3864,"C$868,000",86,"1 bds, 1.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/1-Bloor-St-E-1706-Toronto-ON-M4W-0A8/2083473085_zpid/
Condo for sale,585 Bloor St E #1915,Toronto,ON,M4W1J1,43.671819,-79.372403,"C$559,000",51,"1 bds, 1.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/585-Bloor-St-E-1915-Toronto-ON-M4W-1J1/2077440511_zpid/
Condo for sale,8 Park Rd #3206,Toronto,ON,M4W3S5,43.671294,-79.384925,"C$849,900",83,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/8-Park-Rd-3206-Toronto-ON-M4W-3S5/2083244126_zpid/
Condo for sale,55 Bloor St E #901,Toronto,ON,M4W3W6,43.670276,-79.385166,"C$609,000",23,"2 bds, 1.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/55-Bloor-St-E-901-Toronto-ON-M4W-3W6/2077130254_zpid/
Condo for sale,1 Bloor St E #321,Toronto,ON,M4W0A8,43.670084,-79.3864,"C$1,040,000",195,"2 bds, 2.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/1-Bloor-St-E-321-Toronto-ON-M4W-0A8/2079386586_zpid/
Condo for sale,1 Bloor St E #3609,Toronto,ON,M4W0A8,43.670084,-79.3864,"C$988,880",70,"2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/1-Bloor-St-E-3609-Toronto-ON-M4W-0A8/2084057237_zpid/
Condo for sale,585 Bloor St E #1022,Toronto,ON,M4W1J1,43.671819,-79.372403,"C$849,000",43,"2 bds, 2.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/585-Bloor-St-E-1022-Toronto-ON-M4W-1J1/2077344524_zpid/
Condo for sale,1 Yorkville Ave #2907,Toronto,ON,M4W1L1,43.671742,-79.387802,"C$710,000",111,"1 bds, 1.0 ba ,2100 sqft",Century 21 Empire Realty Inc,https://www.zillow.com/homedetails/1-Yorkville-Ave-2907-Toronto-ON-M4W-1L1/2078160377_zpid/
Condo for sale,1 Yorkville Ave #3007,Toronto,ON,M4W1L1,43.671742,-79.387802,"C$718,000",122,"1 bds, 1.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/1-Yorkville-Ave-3007-Toronto-ON-M4W-1L1/2078311235_zpid/
Condo for sale,85 Bloor St E #911,Toronto,ON,M4W3Y1,43.670487,-79.384573,"C$1,055,000",50,"2 bds, 2.0 ba ,None sqft",Psr,https://www.zillow.com/homedetails/85-Bloor-St-E-911-Toronto-ON-M4W-3Y1/2077422911_zpid/
Condo for sale,1 Bloor St E UNIT 6509,Toronto,ON,M4W0A8,43.670084,-79.3864,"C$1,435,000",167,"2 bds, 2.0 ba ,None sqft",Sutton Group-Associates Realty Inc.,https://www.zillow.com/homedetails/1-Bloor-St-E-UNIT-6509-Toronto-ON-M4W-0A8/2078990077_zpid/
Condo for sale,585 Bloor St E #2717,Toronto,ON,M4W1J1,43.671819,-79.372403,"C$880,000",51,"2 bds, 2.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/585-Bloor-St-E-2717-Toronto-ON-M4W-1J1/2077430408_zpid/
Condo for sale,1 Bloor St E #2205,Toronto,ON,M4W0A8,43.670084,-79.3864,"C$859,900",62,"1 bds, 1.0 ba ,None sqft",Century 21 Heritage Group Ltd.,https://www.zillow.com/homedetails/1-Bloor-St-E-2205-Toronto-ON-M4W-0A8/2083395873_zpid/
Townhouse for sale,825 Church St TOWNHOUSE 106,Toronto,ON,M4W3Z4,43.672985,-79.387028,"C$1,639,900",483,"2 bds, 3.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/825-Church-St-TOWNHOUSE-106-Toronto-ON-M4W-3Z4/2083107314_zpid/
Condo for sale,1 Bloor St E #322,Toronto,ON,M4W0A8,43.670084,-79.3864,"C$863,900",96,"2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/1-Bloor-St-E-322-Toronto-ON-M4W-0A8/2077951967_zpid/
Condo for sale,18 Yorkville Ave #307,Toronto,ON,M4W3Y8,43.672008,-79.387931,"C$698,000",69,"1 bds, 1.0 ba ,None sqft","Engel & Voelkers Toronto Central Yorkville, Brokerage",https://www.zillow.com/homedetails/18-Yorkville-Ave-307-Toronto-ON-M4W-3Y8/2077641268_zpid/
Condo for sale,18 Yorkville Ave #2603,Toronto,ON,M4W3Y8,43.672008,-79.387931,"C$1,750,000",167,"2 bds, 2.0 ba ,None sqft","Engel & Voelkers Toronto Central Yorkville, Brokerage",https://www.zillow.com/homedetails/18-Yorkville-Ave-2603-Toronto-ON-M4W-3Y8/2078962861_zpid/
Condo for sale,825 Church St #3803,Toronto,ON,M4W3Z4,43.672985,-79.387028,"C$853,400",48,"1 bds, 1.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/825-Church-St-3803-Toronto-ON-M4W-3Z4/2077396076_zpid/
Condo for sale,585 Bloor St E #1218,Toronto,ON,M4W1J1,43.671819,-79.372403,"C$829,000",45,"2 bds, 2.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/585-Bloor-St-E-1218-Toronto-ON-M4W-1J1/2077365251_zpid/
