title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Townhouse for sale,38 Earl St #8,Toronto,ON,M4Y1M3,43.66876,-79.376142,"C$1,595,000",40,"2 bds, 3.0 ba ,None sqft",Royal Lepage Infinity Realty,https://www.zillow.com/homedetails/38-Earl-St-8-Toronto-ON-M4Y-1M3/2077304509_zpid/
House for sale,29 Linden St,Toronto,ON,M4Y1V5,43.670477,-79.376748,"C$4,490,000",60,"9 bds, 9.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/29-Linden-St-Toronto-ON-M4Y-1V5/2077528245_zpid/
Condo for sale,22 Wellesley St E #501,Toronto,ON,M4Y1G3,43.665501,-79.383332,"C$779,900",42,"2 bds, 2.0 ba ,2111 sqft",CENTURY 21 Harvest Realty Ltd Brokerage,https://www.zillow.com/homedetails/22-Wellesley-St-E-501-Toronto-ON-M4Y-1G3/2077337309_zpid/
Condo for sale,28 Wellesley St E #1607,Toronto,ON,M4Y0C4,43.665509,-79.383024,"C$799,999",90,"2 bds, 2.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/28-Wellesley-St-E-1607-Toronto-ON-M4Y-0C4/2078841394_zpid/
Condo for sale,11 Saint Joseph St #806,Toronto,ON,M4Y3G4,43.665645,-79.385949,"C$889,000",20,"2 bds, 2.0 ba ,None sqft",Century 21 Leading Edge Realty Inc.,https://www.zillow.com/homedetails/11-Saint-Joseph-St-806-Toronto-ON-M4Y-3G4/2077096560_zpid/
Condo for sale,30 Gloucester St #910,Toronto,ON,M4Y1L6,43.667222,-79.383969,"C$434,800",69,"1 bds, 1.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/30-Gloucester-St-910-Toronto-ON-M4Y-1L6/2077635134_zpid/
Condo for sale,7 Grenville St UNIT 6213,Toronto,ON,M4Y1A1,43.661761,-79.38363,"C$1,348,800",1,"2 bds, 2.0 ba ,3776 sqft",CENTURY 21 Regal Realty Inc Brokerage,https://www.zillow.com/homedetails/7-Grenville-St-UNIT-6213-Toronto-ON-M4Y-1A1/2085898490_zpid/
Townhouse for sale,415 Jarvis St #217,Toronto,ON,M4Y3C1,43.663422,-79.376797,"C$579,900",91,"1 bds, 1.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/415-Jarvis-St-217-Toronto-ON-M4Y-3C1/2077918047_zpid/
Condo for sale,45 Charles St E #705,Toronto,ON,M4Y0B8,43.668795,-79.383969,"C$499,000",50,"1 bds, 1.0 ba ,None sqft",HomeLife Frontier Realty Inc Brokerage,https://www.zillow.com/homedetails/45-Charles-St-E-705-Toronto-ON-M4Y-0B8/2077417835_zpid/
House for sale,22 Wellesley St E PENTHOUSE 1,Toronto,ON,M4Y1G3,43.665501,-79.383332,"C$3,098,000",604,"0 bds, None ba ,None sqft",CENTURY 21 Leading Edge Realty Inc Brokerage,https://www.zillow.com/homedetails/22-Wellesley-St-E-PENTHOUSE-1-Toronto-ON-M4Y-1G3/2084897462_zpid/
Condo for sale,86 Gloucester St #605,Toronto,ON,M4Y2S2,43.667767,-79.38089,"C$729,000",54,"2 bds, 2.0 ba ,None sqft",Homelife Integrity Realty Inc Brokerage,https://www.zillow.com/homedetails/86-Gloucester-St-605-Toronto-ON-M4Y-2S2/2077456180_zpid/
Condo for sale,45 Charles St E #1511,Toronto,ON,M4Y0B8,43.668795,-79.383969,"C$659,000",66,"2 bds, 2.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/45-Charles-St-E-1511-Toronto-ON-M4Y-0B8/2082528207_zpid/
Condo for sale,60 Homewood Ave #336,Toronto,ON,M4Y2X4,43.664441,-79.375108,"C$559,000",18,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/60-Homewood-Ave-336-Toronto-ON-M4Y-2X4/2077075655_zpid/
Condo for sale,50 Charles St E #1103,Toronto,ON,M4Y0C3,43.669541,-79.383788,"C$699,999",99,"1 bds, 1.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/50-Charles-St-E-1103-Toronto-ON-M4Y-0C3/2078004652_zpid/
Condo for sale,101 Charles St E #1603,Toronto,ON,M4Y0A9,43.669642,-79.380554,"C$799,900",29,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/101-Charles-St-E-1603-Toronto-ON-M4Y-0A9/2077188811_zpid/
Condo for sale,33 Charles St E #1409,Toronto,ON,M4Y0A2,43.668616,-79.384347,"C$798,000",42,"2 bds, 1.0 ba ,None sqft",Century 21 Landunion Realty Inc.,https://www.zillow.com/homedetails/33-Charles-St-E-1409-Toronto-ON-M4Y-0A2/2077337248_zpid/
Condo for sale,50 Charles St E UNIT 4008,Toronto,ON,M4Y0C3,43.669541,-79.383788,"C$658,000",52,"1 bds, 1.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/50-Charles-St-E-UNIT-4008-Toronto-ON-M4Y-0C3/2082639337_zpid/
