title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Townhouse for sale,242 Milan St,Toronto,ON,M5A3Z6,43.657897,-79.367694,"C$999,000",132,"3 bds, 2.0 ba ,None sqft",Re/Max Condos Plus Corporation,https://www.zillow.com/homedetails/242-Milan-St-Toronto-ON-M5A-3Z6/2078453216_zpid/
Condo for sale,177 Front St E #2203,Toronto,ON,M5A1E7,43.650278,-79.367555,"C$780,000",63,"3 bds, 2.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/177-Front-St-E-2203-Toronto-ON-M5A-1E7/2077561803_zpid/
Townhouse for sale,254 A Berkeley St,Toronto,ON,M5A2X4,43.658589,-79.367374,"C$979,000",2,"2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/254-A-Berkeley-St-Toronto-ON-M5A-2X4/2076926858_zpid/
House for sale,264 Milan St,Toronto,ON,M5A3Z6,43.658305,-79.367832,"C$1,699,000",9,"2 bds, 5.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/264-Milan-St-Toronto-ON-M5A-3Z6/2077008013_zpid/
Townhouse for sale,220 George St TOWNHOUSE 1,Toronto,ON,M5A2N1,43.655796,-79.373034,"C$1,655,000",50,"3 bds, 3.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/220-George-St-TOWNHOUSE-1-Toronto-ON-M5A-2N1/2085194180_zpid/
House for sale,206 Carlton St,Toronto,ON,M5A2L1,43.664073,-79.37029,"C$2,995,000",57,"9 bds, 5.0 ba ,None sqft",Slavens & Associates Real Estate Inc.,https://www.zillow.com/homedetails/206-Carlton-St-Toronto-ON-M5A-2L1/2077496434_zpid/
Townhouse for sale,457 Queen St E,Toronto,ON,M5A1T6,43.65647,-79.359911,"C$1,495,000",3,"3 bds, 2.0 ba ,None sqft",Re/Max Urban Toronto Team Realty Inc.,https://www.zillow.com/homedetails/457-Queen-St-E-Toronto-ON-M5A-1T6/2077696858_zpid/
Condo for sale,390 Cherry St #1305,Toronto,ON,M5A0E2,43.650571,-79.357267,"C$799,000",13,"2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/390-Cherry-St-1305-Toronto-ON-M5A-0E2/2082254118_zpid/
Condo for sale,260 Sackville St #208,Toronto,ON,M5A0B3,43.661018,-79.36359,"C$599,900",63,"2 bds, 2.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/260-Sackville-St-208-Toronto-ON-M5A-0B3/2077562693_zpid/
Condo for sale,25 Cole St #1609,Toronto,ON,M5A4M3,43.660227,-79.364968,"C$649,000",50,"2 bds, 2.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/25-Cole-St-1609-Toronto-ON-M5A-4M3/2077417809_zpid/
Condo for sale,32 Trolley Cres #1019,Toronto,ON,M5A0E8,43.656643,-79.354791,"C$589,900",3,"1 bds, 1.0 ba ,None sqft",Berkshire Hathaway Homeservices Toronto Realty,https://www.zillow.com/homedetails/32-Trolley-Cres-1019-Toronto-ON-M5A-0E8/2076946644_zpid/
House for sale,190 Sherbourne St,Toronto,ON,M5A2R7,43.656659,-79.370547,"C$1,349,000",8,"4 bds, 3.0 ba ,None sqft",Aykler Real Estate Inc.,https://www.zillow.com/homedetails/190-Sherbourne-St-Toronto-ON-M5A-2R7/2076999565_zpid/
Condo for sale,230 King St E PENTHOUSE 14,Toronto,ON,M5A1K5,43.651539,-79.36809,"C$829,000",63,"2 bds, 2.0 ba ,None sqft",Berkshire Hathaway Homeservices Toronto Realty,https://www.zillow.com/homedetails/230-King-St-E-PENTHOUSE-14-Toronto-ON-M5A-1K5/2077556671_zpid/
Condo for sale,12 Bonneycastle St #923,Toronto,ON,M5A3Y4,43.645596,-79.365013,"C$899,000",2,"2 bds, 2.0 ba ,None sqft",Re/Max Gold Realty Inc.,https://www.zillow.com/homedetails/12-Bonneycastle-St-923-Toronto-ON-M5A-3Y4/2076933097_zpid/
Condo for sale,525 Adelaide St #208,Toronto,ON,M5A1K4,43.652799,-79.364968,"C$679,000",124,"2 bds, 2.0 ba ,None sqft",HomeLife Local Real Estate Ltd Brokerage,https://www.zillow.com/homedetails/525-Adelaide-St-208-Toronto-ON-M5A-1K4/2078324929_zpid/
Condo for sale,255 Richmond St E #127,Toronto,ON,M5A4T7,43.652911,-79.370352,"C$627,900",5,"1 bds, 1.0 ba ,None sqft",Intercity Realty Inc.,https://www.zillow.com/homedetails/255-Richmond-St-E-127-Toronto-ON-M5A-4T7/2076959070_zpid/
Condo for sale,37 Sherbourne St #304,Toronto,ON,M5A2P6,43.650959,-79.367889,"C$330,000",745,"2 bds, 1.0 ba ,None sqft",HomeLife Best Choice Realty Inc Brokerage,https://www.zillow.com/homedetails/37-Sherbourne-St-304-Toronto-ON-M5A-2P6/2086916486_zpid/
Condo for sale,225 Sackville St #612,Toronto,ON,M5A0B9,43.659783,-79.362653,"C$549,900",73,"1 bds, 1.0 ba ,None sqft",HomeLife/Miracle Realty Ltd Brokerage,https://www.zillow.com/homedetails/225-Sackville-St-612-Toronto-ON-M5A-0B9/2077698427_zpid/
Condo for sale,260 Sackville St #214,Toronto,ON,M5A0B3,43.661018,-79.36359,"C$639,000",27,"1 bds, 2.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/260-Sackville-St-214-Toronto-ON-M5A-0B3/2077163130_zpid/
Condo for sale,15 Merchants Wharf St #332,Toronto,ON,M5A0N8,43.650711,-79.376122,"C$688,000",7,"2 bds, 1.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/15-Merchants-Wharf-St-332-Toronto-ON-M5A-0N8/2076979827_zpid/
Condo for sale,320 Richmond St E #414,Toronto,ON,M5A1P9,43.653601,-79.368825,"C$649,000",179,"2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/320-Richmond-St-E-414-Toronto-ON-M5A-1P9/2079127552_zpid/
Condo for sale,55 Regent Park Blvd #913,Toronto,ON,M5A0C2,43.659403,-79.361178,"C$529,000",65,"1 bds, 1.0 ba ,None sqft",Berkshire Hathaway Homeservices Toronto Realty,https://www.zillow.com/homedetails/55-Regent-Park-Blvd-913-Toronto-ON-M5A-0C2/2077591644_zpid/
Condo for sale,109 Front St E #623,Toronto,ON,M5A4P7,43.649412,-79.37088,"C$610,000",84,"2 bds, 1.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/109-Front-St-E-623-Toronto-ON-M5A-4P7/2077823905_zpid/
Condo for sale,390 Cherry St #205,Toronto,ON,M5A0E2,43.650571,-79.357267,"C$1,599,000",72,"3 bds, 3.0 ba ,None sqft",Psr,https://www.zillow.com/homedetails/390-Cherry-St-205-Toronto-ON-M5A-0E2/2077683572_zpid/
Condo for sale,55 Regent Park Blvd #2904,Toronto,ON,M5A0C2,43.659403,-79.361178,"C$612,500",34,"1 bds, 1.0 ba ,None sqft",World Class Realty Point,https://www.zillow.com/homedetails/55-Regent-Park-Blvd-2904-Toronto-ON-M5A-0C2/2077241891_zpid/
Condo for sale,318 King St E #509,Toronto,ON,M5A0C1,43.652588,-79.363791,"C$479,000",15,"1 bds, 1.0 ba ,None sqft",Re/Max Real Estate Solutions,https://www.zillow.com/homedetails/318-King-St-E-509-Toronto-ON-M5A-0C1/2077055513_zpid/
Condo for sale,20 Tubman Ave #2410,Toronto,ON,M5A0M8,43.660593,-79.359348,"C$799,900",28,"2 bds, 2.0 ba ,None sqft",HomeLife/Miracle Realty Ltd Brokerage,https://www.zillow.com/homedetails/20-Tubman-Ave-2410-Toronto-ON-M5A-0M8/2077184968_zpid/
Condo for sale,33 Mill St #305,Toronto,ON,M5A3R3,43.650352,-79.360992,"C$700,000",78,"1 bds, 1.0 ba ,None sqft",Century 21 Leading Edge Realty Inc.,https://www.zillow.com/homedetails/33-Mill-St-305-Toronto-ON-M5A-3R3/2077755472_zpid/
Condo for sale,20 Tubman Ave #310,Toronto,ON,M5A0M8,43.660593,-79.359348,"C$519,000",80,"1 bds, 1.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/20-Tubman-Ave-310-Toronto-ON-M5A-0M8/2083193325_zpid/
Condo for sale,120 Parliament St #2101,Toronto,ON,M5A3A2,43.662819,-79.367783,"C$579,000",106,"1 bds, 1.0 ba ,None sqft",Intercity Realty Inc.,https://www.zillow.com/homedetails/120-Parliament-St-2101-Toronto-ON-M5A-3A2/2078100438_zpid/
Condo for sale,400 Adelaide St E UNIT 519,Toronto,ON,M5A4S3,43.652588,-79.367691,"C$639,000",45,"1 bds, 1.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/400-Adelaide-St-E-UNIT-519-Toronto-ON-M5A-4S3/2086069016_zpid/
Condo for sale,510 King St E PENTHOUSE 817,Toronto,ON,M5A0E5,43.656551,-79.357483,"C$829,000",41,"2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/510-King-St-E-PENTHOUSE-817-Toronto-ON-M5A-0E5/2083446582_zpid/
Condo for sale,112 George St #S306,Toronto,ON,M5A2M5,43.651945,-79.371639,"C$569,900",136,"2 bds, 1.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/112-George-St-S306-Toronto-ON-M5A-2M5/2078507929_zpid/
Condo for sale,400 Adelaide St E #1116,Toronto,ON,M5A4S3,43.652588,-79.367691,"C$659,000",57,"2 bds, 2.0 ba ,None sqft",Sutton Group-Associates Realty Inc.,https://www.zillow.com/homedetails/400-Adelaide-St-E-1116-Toronto-ON-M5A-4S3/2077502420_zpid/
Condo for sale,460 R Adelaide St E #521,Toronto,ON,M5A0E7,43.652747,-79.366674,"C$599,000",75,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/460-R-Adelaide-St-E-521-Toronto-ON-M5A-0E7/2082494330_zpid/
House for sale,417 Dundas St E,Toronto,ON,M5A2A9,43.659056,-79.367013,"C$2,399,900",28,"6 bds, 2.0 ba ,None sqft",Re/Max Real Estate Solutions,https://www.zillow.com/homedetails/417-Dundas-St-E-Toronto-ON-M5A-2A9/2077184969_zpid/
Condo for sale,311 Richmond St E #203,Toronto,ON,M5A4S8,43.653267,-79.369216,"C$719,000",204,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/311-Richmond-St-E-203-Toronto-ON-M5A-4S8/2080452226_zpid/
Condo for sale,109 Front St E UNIT 512,Toronto,ON,M5A4P7,43.649412,-79.37088,"C$569,900",29,"1 bds, 1.0 ba ,None sqft",HomeLife/Bayview Realty Inc Brokerage,https://www.zillow.com/homedetails/109-Front-St-E-UNIT-512-Toronto-ON-M5A-4P7/2077190877_zpid/
Condo for sale,455 Front St E UNIT S126,Toronto,ON,M5A0G2,43.652952,-79.356226,"C$699,000",126,"2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/455-Front-St-E-UNIT-S126-Toronto-ON-M5A-0G2/2078351723_zpid/
Condo for sale,260 Sackville St #203,Toronto,ON,M5A0B3,43.661018,-79.36359,"C$668,800",36,"2 bds, 2.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/260-Sackville-St-203-Toronto-ON-M5A-0B3/2077263189_zpid/
