title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Condo for sale,365 Church St,Toronto,ON,M5B0B5,43.660939,-79.378683,"C$85,000",48,"6 bds, 3.0 ba ,2280 sqft",,https://www.zillow.com/homedetails/365-Church-St-Toronto-ON-M5B-0B5/2087450579_zpid/
Condo for sale,365 Church St PENTHOUSE 13,Toronto,ON,M5B0B5,43.660939,-79.378683,"C$619,900",42,"1 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/365-Church-St-PENTHOUSE-13-Toronto-ON-M5B-0B5/2082644436_zpid/
Condo for sale,220 Victoria St #L2-07,Toronto,ON,M5B2R6,43.654916,-79.379287,"C$35,000",135,"0 bds, None ba ,None sqft",,https://www.zillow.com/homedetails/220-Victoria-St-L2-07-Toronto-ON-M5B-2R6/2078500775_zpid/
Condo for sale,45 Carlton St #1716,Toronto,ON,M5B2H9,43.661386,-79.380438,"C$939,000",31,"3 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/45-Carlton-St-1716-Toronto-ON-M5B-2H9/2077217212_zpid/
Condo for sale,220 Victoria St #1410,Toronto,ON,M5B2R6,43.654916,-79.379287,"C$499,000",1,"1 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/220-Victoria-St-1410-Toronto-ON-M5B-2R6/2076923186_zpid/
Condo for sale,365 Church St #2704,Toronto,ON,M5B0B5,43.660939,-79.378683,"C$439,900",95,"0 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/365-Church-St-2704-Toronto-ON-M5B-0B5/2077947555_zpid/
Condo for sale,200 Victoria St #1106,Toronto,ON,M5B1V8,43.654523,-79.379127,"C$418,000",36,"0 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/200-Victoria-St-1106-Toronto-ON-M5B-1V8/2077262434_zpid/
Condo for sale,197 Yonge St #3511,Toronto,ON,M5B1M4,43.653345,-79.379373,"C$720,000",66,"2 bds, 1.0 ba ,599 sqft",,https://www.zillow.com/homedetails/197-Yonge-St-3511-Toronto-ON-M5B-1M4/2083560750_zpid/
Condo for sale,7 Carlton St #1810,Toronto,ON,M5B2M3,43.661102,-79.382592,"C$570,000",57,"2 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/7-Carlton-St-1810-Toronto-ON-M5B-2M3/2077497128_zpid/
Condo for sale,155 Dalhousie St #627,Toronto,ON,M5B2P7,43.657516,-79.37677,"C$568,000",106,"1 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/155-Dalhousie-St-627-Toronto-ON-M5B-2P7/2084602302_zpid/
