title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Condo for sale,488 University Ave #3102,Toronto,ON,M5G1V2,43.655044,-79.389022,"C$1,428,888",70,"3 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/488-University-Ave-3102-Toronto-ON-M5G-1V2/2077652411_zpid/
Condo for sale,770 Bay St #1113,Toronto,ON,M5G0A6,43.660136,-79.385869,"C$875,000",72,"3 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/770-Bay-St-1113-Toronto-ON-M5G-0A6/2078975837_zpid/
Condo for sale,111 Elizabeth St UNIT 338,Toronto,ON,M5G1P7,43.654844,-79.384679,"C$699,900",2,"2 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/111-Elizabeth-St-UNIT-338-Toronto-ON-M5G-1P7/2076931017_zpid/
Condo for sale,488 University Ave #5015,Toronto,ON,M5G1V2,43.655044,-79.389022,"C$788,800",28,"1 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/488-University-Ave-5015-Toronto-ON-M5G-1V2/2077174705_zpid/
Condo for sale,633 Bay St #201,Toronto,ON,M5G2G4,43.656858,-79.383664,"C$639,800",34,"2 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/633-Bay-St-201-Toronto-ON-M5G-2G4/2077238672_zpid/
Condo for sale,426 University Ave #3806,Toronto,ON,M5G1S9,43.653979,-79.388519,"C$605,000",37,"1 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/426-University-Ave-3806-Toronto-ON-M5G-1S9/2077281055_zpid/
Condo for sale,763 Bay St #4210,Toronto,ON,M5G2R3,43.65995,-79.384946,"C$789,000",55,"1 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/763-Bay-St-4210-Toronto-ON-M5G-2R3/2077912610_zpid/
Condo for sale,488 University Ave #2107,Toronto,ON,M5G1V2,43.655044,-79.389022,"C$1,369,900",190,"2 bds, 2.0 ba ,641 sqft",,https://www.zillow.com/homedetails/488-University-Ave-2107-Toronto-ON-M5G-1V2/2079320869_zpid/
Condo for sale,2904 Bay St #761,Toronto,ON,M5G1N8,43.660454,-79.386178,"C$788,900",42,"1 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/2904-Bay-St-761-Toronto-ON-M5G-1N8/2077337251_zpid/
Condo for sale,38 Elm St #1607,Toronto,ON,M5G2K5,43.657776,-79.383296,"C$619,000",69,"1 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/38-Elm-St-1607-Toronto-ON-M5G-2K5/2077635152_zpid/
Condo for sale,763 Bay St #4804,Toronto,ON,M5G2R3,43.65995,-79.384946,"C$988,000",63,"3 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/763-Bay-St-4804-Toronto-ON-M5G-2R3/2077562691_zpid/
Condo for sale,763 Bay St #3905,Toronto,ON,M5G2R3,43.65995,-79.384946,"C$1,180,000",262,"3 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/763-Bay-St-3905-Toronto-ON-M5G-2R3/2080396871_zpid/
Condo for sale,633 Bay St #701,Toronto,ON,M5G2G4,43.656858,-79.383664,"C$688,000",57,"2 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/633-Bay-St-701-Toronto-ON-M5G-2G4/2077497136_zpid/
Condo for sale,38 Elm St #3011,Toronto,ON,M5G2K5,43.657776,-79.383296,"C$918,000",115,"2 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/38-Elm-St-3011-Toronto-ON-M5G-2K5/2078218103_zpid/
Condo for sale,426 University Ave #1606,Toronto,ON,M5G1S9,43.653979,-79.388519,"C$575,000",179,"1 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/426-University-Ave-1606-Toronto-ON-M5G-1S9/2080546633_zpid/
Condo for sale,763 Bay St PENTHOUSE 1,Toronto,ON,M5G2R3,43.65995,-79.384946,"C$1,329,000",62,"2 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/763-Bay-St-PENTHOUSE-1-Toronto-ON-M5G-2R3/2082209615_zpid/
Condo for sale,633 Bay St UNIT 2314,Toronto,ON,M5G2G4,43.656858,-79.383664,"C$829,999",51,"2 bds, 2.0 ba ,None sqft",,https://www.zillow.com/homedetails/633-Bay-St-UNIT-2314-Toronto-ON-M5G-2G4/2083687544_zpid/
Condo for sale,426 University Ave #2705,Toronto,ON,M5G1S9,43.653979,-79.388519,"C$639,000",104,"1 bds, 1.0 ba ,3771 sqft",,https://www.zillow.com/homedetails/426-University-Ave-2705-Toronto-ON-M5G-1S9/2078073029_zpid/
Condo for sale,488 University Ave #4711,Toronto,ON,M5G1V2,43.655044,-79.389022,"C$888,000",43,"2 bds, 1.0 ba ,None sqft",,https://www.zillow.com/homedetails/488-University-Ave-4711-Toronto-ON-M5G-1V2/2077344595_zpid/
Condo for sale,770 Bay St,Toronto,ON,M5G0A6,43.660136,-79.385869,"C$77,000",28,"0 bds, None ba ,None sqft",,https://www.zillow.com/homedetails/770-Bay-St-Toronto-ON-M5G-0A6/2078465527_zpid/
