title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Condo for sale,25 Lower Simcoe St #8,Toronto,ON,M5J3A1,43.641146,-79.383066,"C$5,500",174,"0 bds, None ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/25-Lower-Simcoe-St-8-Toronto-ON-M5J-3A1/2079042916_zpid/
Condo for sale,65 Harbour Sq #1404,Toronto,ON,M5J2L4,43.64009,-79.378602,"C$1,855,000",136,"3 bds, 2.0 ba ,None sqft",Sutton Group-Associates Realty Inc.,https://www.zillow.com/homedetails/65-Harbour-Sq-1404-Toronto-ON-M5J-2L4/2078511969_zpid/
Condo for sale,25 Lower Simcoe St #4,Toronto,ON,M5J3A1,43.641146,-79.383066,"C$5,500",189,"0 bds, None ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/25-Lower-Simcoe-St-4-Toronto-ON-M5J-3A1/2079299596_zpid/
Condo for sale,211 Queens Quay W #1007,Toronto,ON,M5J2M6,43.638833,-79.380587,"C$2,000,000",25,"2 bds, 1.0 ba ,1686 sqft",CENTURY 21 Percy Fulton Ltd Brokerage,https://www.zillow.com/homedetails/211-Queens-Quay-W-1007-Toronto-ON-M5J-2M6/2077148435_zpid/
Condo for sale,270-031 Queens Quay W #250,Toronto,ON,M5J2N3,43.639416,-79.385506,"C$25,000",85,"0 bds, None ba ,None sqft",Pps Realty,https://www.zillow.com/homedetails/270-031-Queens-Quay-W-250-Toronto-ON-M5J-2N3/2077841428_zpid/
Condo for sale,88 Harbour St #6307,Toronto,ON,M5J0C3,43.641755,-79.379699,"C$599,000",11,"2 bds, 1.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/88-Harbour-St-6307-Toronto-ON-M5J-0C3/2082422942_zpid/
Condo for sale,10 York St #3310,Toronto,ON,M5J0E1,43.641225,-79.380958,"C$1,498,888",62,"3 bds, 3.0 ba ,None sqft",CENTURY 21 Percy Fulton Ltd Brokerage,https://www.zillow.com/homedetails/10-York-St-3310-Toronto-ON-M5J-0E1/2078073033_zpid/
Condo for sale,55 Harbour Sq #2511,Toronto,ON,M5J2L1,43.640065,-79.378494,"C$2,199,000",34,"3 bds, 3.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/55-Harbour-Sq-2511-Toronto-ON-M5J-2L1/2077243947_zpid/
Condo for sale,33 University Ave UNIT 1609,Toronto,ON,M5J2S7,43.646232,-79.383584,"C$749,000",146,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/33-University-Ave-UNIT-1609-Toronto-ON-M5J-2S7/2078636647_zpid/
Condo for sale,65 Harbour Sq #2510,Toronto,ON,M5J2L4,43.64009,-79.378602,"C$2,199,000",48,"3 bds, 3.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/65-Harbour-Sq-2510-Toronto-ON-M5J-2L4/2081451092_zpid/
Condo for sale,33 University Ave #1607,Toronto,ON,M5J2S7,43.646232,-79.383584,"C$1,088,000",6,"2 bds, 2.0 ba ,None sqft",Re/Max Find Properties,https://www.zillow.com/homedetails/33-University-Ave-1607-Toronto-ON-M5J-2S7/2076974554_zpid/
Condo for sale,211 Queens Quay W #1115,Toronto,ON,M5J2M6,43.639572,-79.381172,"C$2,180,000",29,"2 bds, 3.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/211-Queens-Quay-W-1115-Toronto-ON-M5J-2M6/2077190605_zpid/
Condo for sale,33 University Ave #LP2701,Toronto,ON,M5J2S7,43.646232,-79.383584,"C$3,195,000",79,"2 bds, 3.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/33-University-Ave-LP2701-Toronto-ON-M5J-2S7/2077770909_zpid/
Condo for sale,33 Bay St #1112,Toronto,ON,M5J2Z3,43.64265,-79.377328,"C$1,049,999",12,"3 bds, 2.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/33-Bay-St-1112-Toronto-ON-M5J-2Z3/2077029254_zpid/
Condo for sale,10 York St #5704,Toronto,ON,M5J0E1,43.641225,-79.380958,"C$728,800",42,"1 bds, 1.0 ba ,2369 sqft",CENTURY 21 Atria Realty Inc Brokerage,https://www.zillow.com/homedetails/10-York-St-5704-Toronto-ON-M5J-0E1/2077337265_zpid/
Condo for sale,100 Harbour St #6602,Toronto,ON,M5J0B5,43.641708,-79.379316,"C$960,000",2,"2 bds, 2.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/100-Harbour-St-6602-Toronto-ON-M5J-0B5/2076931025_zpid/
Condo for sale,65 Bremner Blvd #4111,Toronto,ON,M5J0A7,43.642914,-79.380646,"C$574,900",174,"1 bds, 1.0 ba ,None sqft",Sutton Group Quantum Realty Inc.,https://www.zillow.com/homedetails/65-Bremner-Blvd-4111-Toronto-ON-M5J-0A7/2079057936_zpid/
Condo for sale,12 A York St #2408,Toronto,ON,M5J0A9,43.641464,-79.381981,"C$489,000",45,"0 bds, 1.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/12-A-York-St-2408-Toronto-ON-M5J-0A9/2077367393_zpid/
Condo for sale,250 Queens Quay W #505,Toronto,ON,M5J2N2,43.639282,-79.385025,"C$675,000",25,"2 bds, 1.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/250-Queens-Quay-W-505-Toronto-ON-M5J-2N2/2077145858_zpid/
Condo for sale,14 B York St #3902,Toronto,ON,M5J0B1,43.641899,-79.381474,"C$469,000",55,"0 bds, 1.0 ba ,None sqft",HomeLife Gold Pacific Realty Inc Brokerage,https://www.zillow.com/homedetails/14-B-York-St-3902-Toronto-ON-M5J-0B1/2077472820_zpid/
