title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Condo for sale,519 Dundas St W #1001,Toronto,ON,M5T1H2,43.652629,-79.398555,"C$575,000",0,"2 bds, None ba ,790 sqft",CENTURY 21 Insight Realty Group Inc Brokerage,https://www.zillow.com/homedetails/519-Dundas-St-W-1001-Toronto-ON-M5T-1H2/2076911661_zpid/
Condo for sale,519 Dundas St W #401,Toronto,ON,M5T1H2,43.652629,-79.398555,"C$658,000",1,"2 bds, 1.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/519-Dundas-St-W-401-Toronto-ON-M5T-1H2/2076916927_zpid/
New construction,143 D Arcy St,Toronto,ON,M5T1K4,43.654,-79.398,"C$1,775,000",111,"2 bds, 2.0 ba ,None sqft","Engel & Voelkers Toronto Central Yorkville, Brokerage",https://www.zillow.com/homedetails/143-D-Arcy-St-Toronto-ON-M5T-1K4/2078163460_zpid/
Townhouse for sale,13 Glen Baillie Pl,Toronto,ON,M5T1J6,43.653586,-79.399274,"C$1,398,000",68,"6 bds, 4.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/13-Glen-Baillie-Pl-Toronto-ON-M5T-1J6/2077623084_zpid/
Townhouse for sale,98 Carr St #12,Toronto,ON,M5T1B7,43.649358,-79.404504,"C$779,000",23,"2 bds, 2.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/98-Carr-St-12-Toronto-ON-M5T-1B7/2077127170_zpid/
House for sale,66 Oxford St,Toronto,ON,M5T1P1,43.656197,-79.402923,"C$1,680,000",54,"4 bds, 3.0 ba ,None sqft","International Realty Firm, Inc.",https://www.zillow.com/homedetails/66-Oxford-St-Toronto-ON-M5T-1P1/2077461531_zpid/
Condo for sale,297 College St #508,Toronto,ON,M5T0C2,43.657192,-79.40147,"C$618,000",76,"1 bds, 1.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/297-College-St-508-Toronto-ON-M5T-0C2/2077730427_zpid/
House for sale,47 Nassau St,Toronto,ON,M5T1M3,43.655267,-79.401286,"C$1,600,000",58,"5 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/47-Nassau-St-Toronto-ON-M5T-1M3/2077510074_zpid/
Condo for sale,210 Simcoe St #1701,Toronto,ON,M5T0A9,43.652508,-79.388584,"C$748,000",91,"1 bds, 1.0 ba ,None sqft",Bay Street Group Inc.,https://www.zillow.com/homedetails/210-Simcoe-St-1701-Toronto-ON-M5T-0A9/2077913436_zpid/
Condo for sale,280 Simcoe St #908,Toronto,ON,M5T2Y5,43.655392,-79.389824,"C$728,888",17,"2 bds, 2.0 ba ,None sqft",HomeLife New World Realty Inc Brokerage,https://www.zillow.com/homedetails/280-Simcoe-St-908-Toronto-ON-M5T-2Y5/2077069833_zpid/
Condo for sale,105 Mccaul St #212,Toronto,ON,M5T2X4,43.653632,-79.390954,"C$475,000",117,"1 bds, 1.0 ba ,None sqft",Century 21 Leading Edge Realty Inc.,https://www.zillow.com/homedetails/105-Mccaul-St-212-Toronto-ON-M5T-2X4/2078236653_zpid/
