title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Condo for sale,75 Queens Wharf Rd #4606,Toronto,ON,M5V0J8,43.638359,-79.398657,"C$1,038,000",40,"3 bds, 2.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/75-Queens-Wharf-Rd-4606-Toronto-ON-M5V-0J8/2077304473_zpid/
Condo for sale,388 Richmond St W PENTHOUSE 1,Toronto,ON,M5V3P1,43.648242,-79.39498,"C$2,750,000",205,"3 bds, 3.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/388-Richmond-St-W-PENTHOUSE-1-Toronto-ON-M5V-3P1/2079538831_zpid/
Condo for sale,219 Fort York Blvd #2712,Toronto,ON,M5V1B1,43.637015,-79.405577,"C$573,900",1,"1 bds, 2.0 ba ,None sqft",Royal Heritage Realty Ltd.,https://www.zillow.com/homedetails/219-Fort-York-Blvd-2712-Toronto-ON-M5V-1B1/2077390404_zpid/
Condo for sale,35 Mariner Ter #2010,Toronto,ON,M5V3V9,43.639734,-79.392086,"C$699,000",1,"1 bds, 1.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/35-Mariner-Ter-2010-Toronto-ON-M5V-3V9/2076918487_zpid/
Condo for sale,81 Navy Wharf Ct #1710,Toronto,ON,M5V3S2,43.641455,-79.391293,"C$869,900",52,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/81-Navy-Wharf-Ct-1710-Toronto-ON-M5V-3S2/2077445772_zpid/
Condo for sale,3 Navy Wharf Ct #2801,Toronto,ON,M5V3V1,43.64031,-79.390859,"C$899,000",1,"3 bds, 2.0 ba ,None sqft",Century 21 Leading Edge Realty Inc.,https://www.zillow.com/homedetails/3-Navy-Wharf-Ct-2801-Toronto-ON-M5V-3V1/2076920164_zpid/
Condo for sale,20 Bruyeres Mews #1213,Toronto,ON,M5V0G8,43.63751,-79.40058,"C$899,900",30,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/20-Bruyeres-Mews-1213-Toronto-ON-M5V-0G8/2077206457_zpid/
Condo for sale,11 Charlotte St #1401,Toronto,ON,M5V0M6,43.646349,-79.393629,"C$330,000",745,"1 bds, 1.0 ba ,None sqft",HomeLife Best Choice Realty Inc Brokerage,https://www.zillow.com/homedetails/11-Charlotte-St-1401-Toronto-ON-M5V-0M6/2086916482_zpid/
Condo for sale,NULL-UPH3 John St #80,Toronto,ON,M5V3G6,43.64444,-79.388569,"C$2,498,900",62,"2 bds, 2.0 ba ,3342 sqft",CENTURY 21 Leading Edge Realty Inc Brokerage,https://www.zillow.com/homedetails/NULL-UPH3-John-St-80-Toronto-ON-M5V-3G6/2077554594_zpid/
Condo for sale,30 Nelson St #28,Toronto,ON,M5V0H5,43.649092,-79.388504,"C$1,980,000",280,"3 bds, 3.0 ba ,1812 sqft",CENTURY 21 Leading Edge Realty Inc Brokerage,https://www.zillow.com/homedetails/30-Nelson-St-28-Toronto-ON-M5V-0H5/2080776266_zpid/
