title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
House for sale,170 E Prospect Ave,Hamburg,NY,14075,42.72205,-78.819505,"$179,900",2,"2 bds, 3.0 ba ,1610 sqft",Rondinelli Real Estate,https://www.zillow.com/homedetails/170-E-Prospect-Ave-Hamburg-NY-14075/30336582_zpid/
House for sale,610 Jamison Rd,Elma,NY,14059,42.804806,-78.638778,"$204,500",2,"3 bds, 3.0 ba ,1920 sqft",HUNT Real Estate,https://www.zillow.com/homedetails/610-Jamison-Rd-Elma-NY-14059/30322951_zpid/
House for sale,265 Tennyson Ter,Williamsville,NY,14221,42.972636,-78.699879,"$149,900",3,"3 bds, 2.0 ba ,1590 sqft",Howard Hanna - Williamsville,https://www.zillow.com/homedetails/265-Tennyson-Ter-Williamsville-NY-14221/30262581_zpid/
House for sale,102 Colby St,Cheektowaga,NY,14206,42.882619,-78.788337,"$50,000",5,"2 bds, 1.0 ba ,872 sqft",Howard Hanna - Tonawanda,https://www.zillow.com/homedetails/102-Colby-St-Cheektowaga-NY-14206/30297963_zpid/
House for sale,1109 N Forest Rd,Williamsville,NY,14221,42.986241,-78.762428,"$115,000",2,"4 bds, 1.0 ba ,1882 sqft",MJ Peterson Real Estate,https://www.zillow.com/homedetails/1109-N-Forest-Rd-Williamsville-NY-14221/30248809_zpid/
House for sale,16 East Ave,Tonawanda,NY,14150,43.021397,-78.872304,"$109,900",1,"3 bds, 1.0 ba ,1380 sqft",MJ Peterson Real Estate,https://www.zillow.com/homedetails/16-East-Ave-Tonawanda-NY-14150/30227184_zpid/
House for sale,56 Stony Brook Dr,Lancaster,NY,14086,42.925828,-78.648539,"$355,000",2,"4 bds, 3.0 ba ,2520 sqft",Howard Hanna - Amherst/Clarence,https://www.zillow.com/homedetails/56-Stony-Brook-Dr-Lancaster-NY-14086/30359721_zpid/
House for sale,8600 Howard Dr,Williamsville,NY,14221,42.962181,-78.672817,"$264,900",6,"4 bds, 2.0 ba ,2422 sqft",HUNT Real Estate,https://www.zillow.com/homedetails/8600-Howard-Dr-Williamsville-NY-14221/30313302_zpid/
House for sale,54 Woodgate Dr,Lancaster,NY,14086,42.876932,-78.68556,"$289,900",1,"4 bds, 3.0 ba ,1946 sqft",Keller Williams Realty Buffalo,https://www.zillow.com/homedetails/54-Woodgate-Dr-Lancaster-NY-14086/30361592_zpid/
House for sale,2405 Agassiz Dr,Lake View,NY,14085,42.717585,-78.917896,"$375,000",1,"4 bds, 3.0 ba ,2163 sqft",HUNT Real Estate,https://www.zillow.com/homedetails/2405-Agassiz-Dr-Lake-View-NY-14085/133695716_zpid/
House for sale,507 Niagara St,Tonawanda,NY,14150,43.013603,-78.896846,"$269,900",0,"4 bds, 3.0 ba ,2520 sqft",WNY Metro Premier Realty,https://www.zillow.com/homedetails/507-Niagara-St-Tonawanda-NY-14150/30225784_zpid/
House for sale,155 Old Carriage House Rd,Grand Island,NY,14072,43.04089,-78.951831,"$339,800",1,"4 bds, 3.0 ba ,2234 sqft",Howard Hanna - Williamsville,https://www.zillow.com/homedetails/155-Old-Carriage-House-Rd-Grand-Island-NY-14072/60060796_zpid/
House for sale,2845 Lockport Rd,Sanborn,NY,14132,43.121589,-78.891412,"$182,900",0,"4 bds, 2.0 ba ,1484 sqft",WNY Metro Town Center Realty,https://www.zillow.com/homedetails/2845-Lockport-Rd-Sanborn-NY-14132/31484455_zpid/
House for sale,5845 Rush Creek Ct,Hamburg,NY,14075,42.728181,-78.807586,"$418,000",1,"4 bds, 3.0 ba ,2719 sqft",Howard Hanna - Orchard Park - E. Quaker Street,https://www.zillow.com/homedetails/5845-Rush-Creek-Ct-Hamburg-NY-14075/30349161_zpid/
House for sale,11708 Cary Rd,Alden,NY,14004,42.877646,-78.550747,"$215,000",5,"3 bds, 2.0 ba ,1752 sqft",HUNT Real Estate,https://www.zillow.com/homedetails/11708-Cary-Rd-Alden-NY-14004/30233072_zpid/
House for sale,3339 Pleasant Ave,Hamburg,NY,14075,42.734468,-78.86574,"$229,900",3,"3 bds, 2.0 ba ,1673 sqft",WNY Metro Roberts Realty,https://www.zillow.com/homedetails/3339-Pleasant-Ave-Hamburg-NY-14075/30348158_zpid/
For sale by owner,3496 S Creek Rd,Hamburg,NY,14075,42.708029,-78.858336,"$295,000",0,"4 bds, 3.0 ba ,2315 sqft",,https://www.zillow.com/homedetails/3496-S-Creek-Rd-Hamburg-NY-14075/30350397_zpid/
House for sale,147 Stevens St,Lockport,NY,14094,43.164574,-78.70724,"$119,900",1,"3 bds, 2.0 ba ,1320 sqft",Howard Hanna - Lockport-Medina,https://www.zillow.com/homedetails/147-Stevens-St-Lockport-NY-14094/31430778_zpid/
House for sale,87 Eddy Ln,Orchard Park,NY,14127,42.771709,-78.73796,"$269,900",1,"4 bds, 2.0 ba ,1813 sqft",Howard Hanna - Orchard Park - E. Quaker Street,https://www.zillow.com/homedetails/87-Eddy-Ln-Orchard-Park-NY-14127/30367646_zpid/
House for sale,216 N Harvest St,Williamsville,NY,14221,42.955115,-78.751455,"$169,900",1,"3 bds, 1.0 ba ,1088 sqft",Howard Hanna - Amherst/Clarence,https://www.zillow.com/homedetails/216-N-Harvest-St-Williamsville-NY-14221/30266602_zpid/
House for sale,500 Willow Ave,North Tonawanda,NY,14120,43.062148,-78.888506,"$139,900",2,"2 bds, 2.0 ba ,908 sqft",HUNT Real Estate,https://www.zillow.com/homedetails/500-Willow-Ave-North-Tonawanda-NY-14120/31454239_zpid/
House for sale,73 Rossiter Ave,Depew,NY,14043,42.911852,-78.710249,"$155,000",6,"4 bds, 2.0 ba ,1432 sqft","Howard Hanna - Lancaster, NY",https://www.zillow.com/homedetails/73-Rossiter-Ave-Depew-NY-14043/30279741_zpid/
House for sale,730 Casey Rd,East Amherst,NY,14051,43.02339,-78.711212,"$235,000",4,"3 bds, 2.0 ba ,1176 sqft",Coldwell Banker Integrity Real Estate,https://www.zillow.com/homedetails/730-Casey-Rd-East-Amherst-NY-14051/30244306_zpid/
House for sale,25 Old Schoolhouse Rd,Lancaster,NY,14086,42.884112,-78.638592,"$319,900",164,"4 bds, 3.0 ba ,2620 sqft",Howard Hanna,https://www.zillow.com/homedetails/25-Old-Schoolhouse-Rd-Lancaster-NY-14086/30362203_zpid/
House for sale,15 Delton St,Tonawanda,NY,14150,43.00155,-78.875897,"$149,900",2,"4 bds, 2.0 ba ,1665 sqft","Howard Hanna - Amherst, NY",https://www.zillow.com/homedetails/15-Delton-St-Tonawanda-NY-14150/2076927904_zpid/
House for sale,856 Quaker Rd,East Aurora,NY,14052,42.763393,-78.659776,"$199,900",7,"3 bds, 1.0 ba ,1000 sqft",Envision Real Estate,https://www.zillow.com/homedetails/856-Quaker-Rd-East-Aurora-NY-14052/30270897_zpid/
