title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Townhouse for sale,1297 Davenport Rd,Toronto,ON,M6H2H3,43.673705,-79.437705,"C$1,175,000",122,"3 bds, 3.0 ba ,None sqft",Ipro Realty Ltd,https://www.zillow.com/homedetails/1297-Davenport-Rd-Toronto-ON-M6H-2H3/2081935310_zpid/
House for sale,378 Delaware Ave,Toronto,ON,M6H2T8,43.666485,-79.430356,"C$1,799,999",57,"7 bds, 4.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/378-Delaware-Ave-Toronto-ON-M6H-2T8/2077499744_zpid/
House for sale,565 Delaware Ave N,Toronto,ON,M6H2V3,43.672844,-79.432426,"C$1,595,000",28,"3 bds, 4.0 ba ,None sqft",Retrend Realty Ltd,https://www.zillow.com/homedetails/565-Delaware-Ave-N-Toronto-ON-M6H-2V3/2077173033_zpid/
House for sale,1074 Dupont St,Toronto,ON,M6H1Z6,43.669289,-79.435753,"C$998,000",81,"4 bds, 2.0 ba ,None sqft",HomeLife/Future Realty Inc Brokerage,https://www.zillow.com/homedetails/1074-Dupont-St-Toronto-ON-M6H-1Z6/2083258628_zpid/
Condo for sale,130 Rusholme Rd #301,Toronto,ON,M6H2Y7,43.653484,-79.428501,"C$1,035,000",64,"2 bds, 2.0 ba ,None sqft",Psr,https://www.zillow.com/homedetails/130-Rusholme-Rd-301-Toronto-ON-M6H-2Y7/2077570056_zpid/
Condo for sale,Galleria On The Park,Toronto,ON,M6H2A6,43.66759,-79.44191,"C$469,900",596,"0 bds, 1.0 ba ,427 sqft",CENTURY 21 Kennect Realty Inc Brokerage,https://www.zillow.com/homedetails/Galleria-On-The-Park-Toronto-ON-M6H-2A6/2084781910_zpid/
House for sale,875 Saint Clarens Ave,Toronto,ON,M6H3X5,43.669688,-79.446124,"C$1,829,900",267,"3 bds, 5.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/875-Saint-Clarens-Ave-Toronto-ON-M6H-3X5/2080469156_zpid/
House for sale,441 Brock Ave,Toronto,ON,M6H3N7,43.654711,-79.437228,"C$1,375,000",93,"3 bds, 3.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/441-Brock-Ave-Toronto-ON-M6H-3N7/2077938633_zpid/
Condo for sale,1420 Dupont St #508,Toronto,ON,M6H0C2,43.666627,-79.447683,"C$549,900",94,"2 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/1420-Dupont-St-508-Toronto-ON-M6H-0C2/2077943316_zpid/
Condo for sale,Galleria On The Park #3,Toronto,ON,M6H2A4,43.667936,-79.439138,"C$550,000",76,"1 bds, 1.0 ba ,1526 sqft",CENTURY 21 Kennect Realty Inc Brokerage,https://www.zillow.com/homedetails/Galleria-On-The-Park-3-Toronto-ON-M6H-2A4/2077729887_zpid/
