title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Condo for sale,1030 King St W #1019,Toronto,ON,M6K0B4,43.641589,-79.415761,"C$529,999",1,"1 bds, 1.0 ba ,None sqft",Right At Home Realty Inc.,https://www.zillow.com/homedetails/1030-King-St-W-1019-Toronto-ON-M6K-0B4/2076921932_zpid/
Townhouse for sale,27 Canniff St #506,Toronto,ON,M6K3M5,43.641277,-79.41213,"C$649,000",1,"2 bds, 1.0 ba ,None sqft",Keller Williams Real Estate Associates North Group,https://www.zillow.com/homedetails/27-Canniff-St-506-Toronto-ON-M6K-3M5/2076916533_zpid/
Townhouse for sale,57 Liberty St TOWNHOUSE 13,Toronto,ON,M6K1A5,43.638548,-79.420287,"C$939,000",121,"3 bds, 2.0 ba ,None sqft",Keller Williams Real Estate Associates North Group,https://www.zillow.com/homedetails/57-Liberty-St-TOWNHOUSE-13-Toronto-ON-M6K-1A5/2083712090_zpid/
Condo for sale,50 Lynn Williams St #2408,Toronto,ON,M6K3R9,43.639643,-79.415185,"C$599,000",3,"1 bds, 1.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/50-Lynn-Williams-St-2408-Toronto-ON-M6K-3R9/2078481751_zpid/
Townhouse for sale,37 Canniff St #708,Toronto,ON,M6K3M5,43.641135,-79.412833,"C$899,000",71,"3 bds, 3.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/37-Canniff-St-708-Toronto-ON-M6K-3M5/2077665489_zpid/
Condo for sale,10 Laidlaw St #709C,Toronto,ON,M6K1X2,43.639803,-79.426614,"C$499,000",7,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/10-Laidlaw-St-709C-Toronto-ON-M6K-1X2/2076987578_zpid/
Condo for sale,65 Liberty St #608,Toronto,ON,M6K1Y4,43.637943,-79.421861,"C$360,000",745,"2 bds, 1.0 ba ,None sqft",HomeLife Best Choice Realty Inc Brokerage,https://www.zillow.com/homedetails/65-Liberty-St-608-Toronto-ON-M6K-1Y4/2086916488_zpid/
Condo for sale,1205 Queen St W #602,Toronto,ON,M6K0B9,43.641878,-79.428915,"C$939,900",153,"2 bds, 2.0 ba ,1530 sqft",CENTURY 21 Leading Edge Realty Inc Brokerage,https://www.zillow.com/homedetails/1205-Queen-St-W-602-Toronto-ON-M6K-0B9/2078752385_zpid/
Townhouse for sale,20 Laidlaw St #1132,Toronto,ON,M6K1X2,43.640503,-79.426858,"C$624,888",63,"2 bds, 1.0 ba ,None sqft",Right At Home Realty Inc.,https://www.zillow.com/homedetails/20-Laidlaw-St-1132-Toronto-ON-M6K-1X2/2077562897_zpid/
Condo for sale,38 Joe Shuster Way PENTHOUSE 1,Toronto,ON,M6K0A5,43.640425,-79.424652,"C$598,000",11,"2 bds, 2.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/38-Joe-Shuster-Way-PENTHOUSE-1-Toronto-ON-M6K-0A5/2077025596_zpid/
House for sale,193 A Lansdowne Ave,Toronto,ON,M6K2W1,43.646523,-79.438745,"C$1,250,000",16,"4 bds, 3.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/193-A-Lansdowne-Ave-Toronto-ON-M6K-2W1/2077058295_zpid/
Condo for sale,1030 King St W #925,Toronto,ON,M6K0B4,43.641589,-79.415761,"C$599,900",71,"2 bds, 1.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/1030-King-St-W-925-Toronto-ON-M6K-0B4/2077666858_zpid/
Condo for sale,50 Lynn Williams St #611,Toronto,ON,M6K3R9,43.639643,-79.415185,"C$739,800",13,"2 bds, 2.0 ba ,None sqft",Sutton Group Quantum Realty Inc.,https://www.zillow.com/homedetails/50-Lynn-Williams-St-611-Toronto-ON-M6K-3R9/2077035399_zpid/
Condo for sale,24 Noble St #507,Toronto,ON,M6K2C8,43.642959,-79.430684,"C$578,000",2,"0 bds, 1.0 ba ,None sqft",Re/Max Ultimate Realty Inc.,https://www.zillow.com/homedetails/24-Noble-St-507-Toronto-ON-M6K-2C8/2076937922_zpid/
Condo for sale,1 Shaw St UNIT 513,Toronto,ON,M6K0A1,43.640991,-79.414326,"C$649,000",136,"2 bds, 1.0 ba ,699 sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/1-Shaw-St-UNIT-513-Toronto-ON-M6K-0A1/2078510839_zpid/
House for sale,86 Lansdowne Ave,Toronto,ON,M6K2V9,43.643567,-79.438098,"C$1,074,900",42,"4 bds, 3.0 ba ,None sqft",CENTURY 21 Regal Realty Inc Brokerage,https://www.zillow.com/homedetails/86-Lansdowne-Ave-Toronto-ON-M6K-2V9/2077337046_zpid/
Condo for sale,80 Western Battery Rd #2010,Toronto,ON,M6K3S1,43.639664,-79.414646,"C$699,900",122,"1 bds, 1.0 ba ,None sqft",Keller Williams Real Estate Associates North Group,https://www.zillow.com/homedetails/80-Western-Battery-Rd-2010-Toronto-ON-M6K-3S1/2078310639_zpid/
Condo for sale,19 Western Battery Rd #3115,Toronto,ON,M6K3N9,43.639578,-79.411332,"C$750,000",16,"3 bds, 2.0 ba ,None sqft",HomeLife Landmark Realty Inc Brokerage,https://www.zillow.com/homedetails/19-Western-Battery-Rd-3115-Toronto-ON-M6K-3N9/2077059894_zpid/
Condo for sale,20 Joe Shuster Way UNIT 201,Toronto,ON,M6K0A3,43.640144,-79.423916,"C$469,900",30,"1 bds, 1.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/20-Joe-Shuster-Way-UNIT-201-Toronto-ON-M6K-0A3/2077209190_zpid/
Condo for sale,100 Western Battery Rd #1411,Toronto,ON,M6K3S2,43.639626,-79.415795,"C$575,000",50,"1 bds, 1.0 ba ,None sqft",Sutton Group-Associates Realty Inc.,https://www.zillow.com/homedetails/100-Western-Battery-Rd-1411-Toronto-ON-M6K-3S2/2077425977_zpid/
House for sale,87 Beaty Ave,Toronto,ON,M6K3B3,43.639342,-79.440796,"C$1,500,000",55,"4 bds, 3.0 ba ,None sqft",Re/Max Hallmark Corbo & Kelos Group Realty Ltd.,https://www.zillow.com/homedetails/87-Beaty-Ave-Toronto-ON-M6K-3B3/2077478346_zpid/
Condo for sale,85 E Liberty St #808,Toronto,ON,M6K1Y4,43.637682,-79.422214,"C$678,808",42,"1 bds, 2.0 ba ,None sqft",CENTURY 21 Regal Realty Inc Brokerage,https://www.zillow.com/homedetails/85-E-Liberty-St-808-Toronto-ON-M6K-1Y4/2077337225_zpid/
Condo for sale,Liberty Market Tower,Toronto,ON,M6K3E7,43.638165,-79.418106,"C$560,000",330,"0 bds, None ba ,1546 sqft",CENTURY 21 Kennect Realty Inc Brokerage,https://www.zillow.com/homedetails/Liberty-Market-Tower-Toronto-ON-M6K-3E7/2081450286_zpid/
Condo for sale,65 E Liberty St UNIT 2017,Toronto,ON,M6K1Y4,43.637943,-79.421861,"C$599,999",155,"1 bds, 1.0 ba ,638 sqft",CENTURY 21 Fine Living Realty Inc Brokerage,https://www.zillow.com/homedetails/65-E-Liberty-St-UNIT-2017-Toronto-ON-M6K-1Y4/2078793152_zpid/
Condo for sale,125 Western Battery Rd #1008,Toronto,ON,M6K3R8,43.639876,-79.416737,"C$698,000",13,"1 bds, 2.0 ba ,None sqft",Aimhome Realty Inc.,https://www.zillow.com/homedetails/125-Western-Battery-Rd-1008-Toronto-ON-M6K-3R8/2077061073_zpid/
Condo for sale,80 Western Battery Rd #2309,Toronto,ON,M6K3S1,43.639664,-79.414646,"C$419,900",48,"0 bds, 1.0 ba ,None sqft",Re/Max Regal Homes,https://www.zillow.com/homedetails/80-Western-Battery-Rd-2309-Toronto-ON-M6K-3S1/2077385024_zpid/
House for sale,199 Dunn Ave,Toronto,ON,M6K2S1,43.638737,-79.433336,"C$2,350,000",42,"5 bds, 4.0 ba ,None sqft",CENTURY 21 Regal Realty Inc Brokerage,https://www.zillow.com/homedetails/199-Dunn-Ave-Toronto-ON-M6K-2S1/2077336986_zpid/
Condo for sale,38 Joe Shuster Way #2008,Toronto,ON,M6K0A5,43.640425,-79.424652,"C$495,000",16,"1 bds, 1.0 ba ,None sqft",CENTURY 21 Smartway Realty Inc Brokerage,https://www.zillow.com/homedetails/38-Joe-Shuster-Way-2008-Toronto-ON-M6K-0A5/2078073001_zpid/
Condo for sale,59 E Liberty St #2407,Toronto,ON,M6K1A5,43.638548,-79.420287,"C$998,000",79,"1 bds, 2.0 ba ,None sqft",Sutton Group Quantum Realty Inc.,https://www.zillow.com/homedetails/59-E-Liberty-St-2407-Toronto-ON-M6K-1A5/2077766817_zpid/
Condo for sale,59 E Liberty St #2205,Toronto,ON,M6K1A5,43.638548,-79.420287,"C$935,000",52,"2 bds, 2.0 ba ,None sqft",Re/Max Regal Homes,https://www.zillow.com/homedetails/59-E-Liberty-St-2205-Toronto-ON-M6K-1A5/2077445017_zpid/
Condo for sale,1 Shaw St #1219,Toronto,ON,M6K0A1,43.640991,-79.414326,"C$559,900",9,"1 bds, 1.0 ba ,None sqft",HomeLife/Bayview Realty Inc Brokerage,https://www.zillow.com/homedetails/1-Shaw-St-1219-Toronto-ON-M6K-0A1/2077009410_zpid/
House for sale,181 Dowling Ave,Toronto,ON,M6K3B2,43.639347,-79.439261,"C$2,499,900",34,"9 bds, 8.0 ba ,None sqft",CENTURY 21 Regal Realty Inc Brokerage,https://www.zillow.com/homedetails/181-Dowling-Ave-Toronto-ON-M6K-3B2/2077243275_zpid/
Condo for sale,125 Western Battery Rd S #2409,Toronto,ON,M6K3R8,43.639876,-79.416737,"C$699,000",15,"1 bds, 2.0 ba ,None sqft",CENTURY 21 Dreams Inc Brokerage,https://www.zillow.com/homedetails/125-Western-Battery-Rd-S-2409-Toronto-ON-M6K-3R8/2077054657_zpid/
Condo for sale,85 E Liberty St #1919,Toronto,ON,M6K1Y4,43.637682,-79.422214,"C$929,900",58,"3 bds, 2.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/85-E-Liberty-St-1919-Toronto-ON-M6K-1Y4/2078345602_zpid/
Condo for sale,15 Laidlaw St #TOWNHOUSE,Toronto,ON,M6K1X3,43.639956,-79.425983,"C$658,000",68,"3 bds, 1.0 ba ,None sqft",HomeLife/Realty One Ltd Brokerage,https://www.zillow.com/homedetails/15-Laidlaw-St-TOWNHOUSE-Toronto-ON-M6K-1X3/2077619530_zpid/
Condo for sale,125 Western Battery Rd #1806,Toronto,ON,M6K3R8,43.639876,-79.416737,"C$678,888",63,"1 bds, 2.0 ba ,None sqft",CENTURY 21 Atria Realty Inc Brokerage,https://www.zillow.com/homedetails/125-Western-Battery-Rd-1806-Toronto-ON-M6K-3R8/2077568560_zpid/
House for sale,91 Beaty Ave,Toronto,ON,M6K3B3,43.639499,-79.440834,"C$1,450,000",55,"5 bds, 4.0 ba ,None sqft",Re/Max Hallmark Corbo & Kelos Group Realty Ltd.,https://www.zillow.com/homedetails/91-Beaty-Ave-Toronto-ON-M6K-3B3/2077478286_zpid/
Condo for sale,19 Western Battery Rd #2909,Toronto,ON,M6K3N9,43.639578,-79.411332,"C$787,800",15,"3 bds, 2.0 ba ,None sqft",HomeLife/Bayview Realty Inc Brokerage,https://www.zillow.com/homedetails/19-Western-Battery-Rd-2909-Toronto-ON-M6K-3N9/2077047865_zpid/
Condo for sale,75 E Liberty St #1910,Toronto,ON,M6K1Y4,43.637842,-79.422218,"C$590,000",0,"1 bds, 1.0 ba ,None sqft",Living Realty Inc.,https://www.zillow.com/homedetails/75-E-Liberty-St-1910-Toronto-ON-M6K-1Y4/2077608446_zpid/
Condo for sale,20 Joe Shuster Way #1402,Toronto,ON,M6K0A3,43.640144,-79.423916,"C$529,000",68,"2 bds, 1.0 ba ,None sqft",HomeLife Galaxy Real Estate Ltd Brokerage,https://www.zillow.com/homedetails/20-Joe-Shuster-Way-1402-Toronto-ON-M6K-0A3/2077619548_zpid/
