title,address,city,state,postal_code,lat,lon,price,days,facts and features,real estate provider,url
Townhouse for sale,115 Fern Ave,Toronto,ON,M6R1K2,43.645004,-79.445214,"C$999,000",0,"3 bds, 1.0 ba ,None sqft",Sutton Group Old Mill Realty Inc.,https://www.zillow.com/homedetails/115-Fern-Ave-Toronto-ON-M6R-1K2/2076912319_zpid/
House for sale,191 Parkside Dr,Toronto,ON,M6R2Z1,43.644383,-79.455757,"C$2,488,000",52,"5 bds, 5.0 ba ,None sqft",Sutton Group-Admiral Realty Inc.,https://www.zillow.com/homedetails/191-Parkside-Dr-Toronto-ON-M6R-2Z1/2077445298_zpid/
House for sale,160 Macdonell Ave,Toronto,ON,M6R2A6,43.64507,-79.439951,"C$2,249,900",78,"4 bds, 5.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/160-Macdonell-Ave-Toronto-ON-M6R-2A6/2077762175_zpid/
House for sale,240 Garden Ave,Toronto,ON,M6R1J1,43.64357,-79.44973,"C$1,699,900",15,"7 bds, 5.0 ba ,None sqft",Right at Home Realty Inc Brokerage,https://www.zillow.com/homedetails/240-Garden-Ave-Toronto-ON-M6R-1J1/2077046244_zpid/
House for sale,10 Boustead Ave,Toronto,ON,M6R1Y8,43.653633,-79.452265,"C$3,490,000",53,"9 bds, 4.0 ba ,None sqft",Gowest Realty Ltd.,https://www.zillow.com/homedetails/10-Boustead-Ave-Toronto-ON-M6R-1Y8/2077449975_zpid/
House for sale,320 Indian Rd,Toronto,ON,M6R2X8,43.654722,-79.457108,"C$2,999,000",58,"3 bds, 4.0 ba ,None sqft",Psr,https://www.zillow.com/homedetails/320-Indian-Rd-Toronto-ON-M6R-2X8/2077507845_zpid/
House for sale,125 Sorauren Ave,Toronto,ON,M6R2E3,43.643686,-79.442238,"C$3,299,000",32,"5 bds, 4.0 ba ,None sqft",Sage Real Estate Limited,https://www.zillow.com/homedetails/125-Sorauren-Ave-Toronto-ON-M6R-2E3/2077223987_zpid/
House for sale,261 Macdonell Ave,Toronto,ON,M6R2A9,43.647969,-79.440663,"C$824,900",197,"1 bds, 1.0 ba ,2800 sqft",CENTURY 21 Regal Realty Inc Brokerage,https://www.zillow.com/homedetails/261-Macdonell-Ave-Toronto-ON-M6R-2A9/2079436755_zpid/
Townhouse for sale,59 A Callender St,Toronto,ON,M6R2H2,43.641446,-79.442653,"C$2,999,000",13,"5 bds, 2.0 ba ,None sqft",Aimhome Realty Inc.,https://www.zillow.com/homedetails/59-A-Callender-St-Toronto-ON-M6R-2H2/2077061049_zpid/
House for sale,39 Perth Ave,Toronto,ON,M6R2C1,43.655775,-79.447477,"C$1,299,000",55,"3 bds, 5.0 ba ,None sqft",Ipro Realty Ltd.,https://www.zillow.com/homedetails/39-Perth-Ave-Toronto-ON-M6R-2C1/2077468488_zpid/
House for sale,2011 Dundas St W,Toronto,ON,M6R1W7,43.651349,-79.446542,"C$2,990,000",53,"7 bds, 5.0 ba ,None sqft",Gowest Realty Ltd.,https://www.zillow.com/homedetails/2011-Dundas-St-W-Toronto-ON-M6R-1W7/2083557865_zpid/
